subject,n_pairs,a,b,z_star,kappa,kappa_lo,kappa_hi,stable_b_lt_0,note
C3032,6,20.851169980355404,-1.3653343462028127,15.271841683574026,1.3653343462028127,-0.9637804553846729,2.1009101662587333,True,
C3037,6,-7.26675080118107,0.5062053392010045,14.35534206859794,-0.5062053392010045,-2.337867790351006,0.529498500366042,False,
H4001,6,14.019398060716474,-0.9018359419189512,15.545397348974156,0.9018359419189512,-0.5290272542740548,2.448840949403152,True,
H4004,6,11.769046637905419,-0.797860594753418,14.75075560229001,0.797860594753418,-1.2664790340555396,1.757532950168217,True,
