subject,n_aligned,R2_logspace,p0,lambda_B,alpha_F,alpha_A,k_LB,alpha_obs,beta_obs,lag_F,lag_A,lag_L,within_subject_center
C3032,6,-0.9140128416851439,0.07941978831232656,0.005,0.002247320630218147,-2.7755575615628914e-17,0.0,8.42461403561769,0.44266625030870893,1,0,1,True
C3037,6,0.19399583700579004,0.08275752240177081,0.005,0.002247320630218147,-2.7755575615628914e-17,0.0,8.42461403561769,0.44266625030870893,1,0,1,True
H4001,6,-0.8828075644593103,0.08229014232555168,0.005,0.002247320630218147,-2.7755575615628914e-17,0.0,8.42461403561769,0.44266625030870893,1,0,1,True
H4004,6,0.037762946697470046,0.07340901230737217,0.005,0.002247320630218147,-2.7755575615628914e-17,0.0,8.42461403561769,0.44266625030870893,1,0,1,True
