subject,R2_logspace,n_aligned,lag_F,lag_A,lag_L
C3032,-0.9140128416851439,6,1,0,1
C3037,0.19399583700579004,6,1,0,1
H4001,-0.8828075644593103,6,1,0,1
H4004,0.037762946697470046,6,1,0,1
