n_subjects,mean_R2,median_R2,p75_R2,p90_R2,n_ge_0p3,n_ge_0p4,n_ge_0p5,lambda_B,alpha_F,alpha_A,k_LB,loss_huber,model,lags,within_subject_center,run_tag
4,-0.5281214068037391,-0.06593372555198035,0.22962811344126943,0.27178470036775226,0,0,0,0.005,0.007522748306649157,1.6939374058149576e-05,0.0036336518235948866,3.2232763622807283,unknown,"{'F': 0, 'A': 0, 'L': 1}",True,model_full__lags_0_0_1__centered_1
4,-0.2938895410352112,-0.13319873668394785,-0.03915047076770567,0.08268683041358871,0,0,0,0.6,-0.2813549508877326,0.0,0.0,3.2754360520095362,unknown,"{'F': 0, 'A': 0, 'L': 1}",True,model_noAL__lags_0_0_1__centered_1
4,-0.42660976257640887,-0.21497276535750942,-0.05421940017084353,0.025984358366483766,0,0,0,0.6,-0.2706158473439986,-0.13965078647008788,0.0,3.4671450824234427,unknown,"{'F': 0, 'A': 0, 'L': 1}",True,model_noL__lags_0_0_1__centered_1
4,-0.43947271959985257,-0.26869225967300436,0.15310019678414094,0.21830785837246652,0,0,0,0.01,0.002312587572438342,-0.0016214778616111527,0.0009283104185221088,3.169071527990347,unknown,"{'F': 1, 'A': 0, 'L': 1}",True,model_full__lags_1_0_1__centered_1
4,-0.40403519254241704,-0.3712613276298073,0.1437162632891839,0.21682000201517454,0,0,0,0.01,0.002316369767457841,-0.0016263935726571958,0.0,3.1997951387960177,unknown,"{'F': 1, 'A': 0, 'L': 1}",True,model_noL__lags_1_0_1__centered_1
4,-0.39126540561029854,-0.4225223088809201,0.07682116927455,0.14712596991329402,0,0,0,0.005,0.002247320630218147,-2.7755575615628914e-17,0.0,3.2556124347006317,unknown,"{'F': 1, 'A': 0, 'L': 1}",True,model_noAL__lags_1_0_1__centered_1
