subject_id,alpha_B,beta0_H,beta1_H
C3001,0.9003469392171319,0.21050244590354145,0.5916178861675878
C3002,0.986608804408762,0.16623390553014744,0.4536518768565891
C3003,0.1000053731709123,0.09472126775689993,0.8548168054514559
C3004,0.7847705227260341,-0.07860527458628812,0.9881380001004354
C3006,0.3401377857280349,0.06720362256753426,0.8857096898232025
C3008,0.8755975800860082,0.000556541266109567,0.9896936709171348
C3009,0.9419178576317391,0.1076487271080404,0.7726299417743215
C3010,0.9093484333691736,0.07154538529888897,0.8256506015528172
C3011,2.3319677854802134,0.08416234442414089,0.8702926212503602
C3012,0.9769102232517387,0.006131213830935893,0.9769646120544662
C3013,4.020748948951856,0.24994508904686263,0.5894111824266396
C3015,0.10004114031568517,0.11033712578123582,0.8380542706465307
C3016,0.10001569903908696,0.4664796172532841,0.16921166980628927
C3017,0.67697968513252,0.14069667337898123,0.759898660362654
C3021,4.950116946011004,0.19912663539500022,0.7855395273063717
C3023,0.10081315619628814,0.4672192575452622,0.4383602431309448
C3027,0.5933004863280215,0.29547074776837257,0.5679055820899703
C3028,0.8520113050000545,0.03754415335293975,0.8623698727235052
C3031,0.8853307094241629,0.08546215386328548,0.7821684691209235
C3032,0.2891029479382368,0.005653601632364968,0.9547182316410856
C3034,0.8766857381921844,0.16660739164553443,0.6890231460486771
C3035,0.10261807663146032,0.21906144057300142,0.3709518375269951
C3037,3.237236627373613,-0.018517855597829844,0.8693339439492925
E5001,0.10257851698868824,0.2693988511555039,0.455340611435555
E5004,3.9806658737336336,0.18963452567468,0.7870892500354015
E5009,0.7435748849072639,-0.014486333020379806,0.8738421098762978
E5013,0.8341078243458985,0.009406617853068023,0.9073120986744387
H4001,1.9264467768051028,0.019966269538791034,0.9059801669669554
H4004,0.10753421225592145,0.1264174477346558,0.6927285078032009
H4006,1.6741303346466276,0.09645586482280535,0.7251063889040996
H4007,4.991673417736281,0.1186935937422543,0.7796692916735197
H4010,0.26028978320647755,0.1792953083704182,0.7709108080159679
H4014,1.6254781752050758,-0.026600948570355398,0.9659240656810276
H4015,0.17351111557458443,0.0813219765492948,0.7209347866681873
H4017,0.704867749896465,0.35424258465550007,0.3612758157990733
H4019,0.10000774833673721,0.33491179626115264,0.6282489435634525
H4020,0.7681128799526252,0.023315527366409444,0.9220314002590303
H4027,0.10000523500638361,0.03261182871087754,0.8997053031170067
H4031,0.44824620971829526,0.24307246546315694,0.561155246697569
H4032,0.9045112253385684,-0.09076577198653142,1.0520180371670653
H4035,0.11024807862849914,0.43158763716779014,0.47729433381127173
H4038,2.087673870478563,0.48661070530344874,0.4411040725088784
H4039,1.4705554357903432,-0.1775152209427736,1.1454333668208665
H4042,2.4920381261252498,0.2764607292904522,0.48480183384065717
H4043,0.6812160512251274,-0.05022517392665738,0.91557565464233
M2008,0.10037475859645793,0.2883443553481866,0.5400544873567257
M2014,1.0774167527319227,-0.03511586094151231,0.9652320953119992
M2021,0.26299424290488393,0.07451475033940565,0.7667187552953454
M2025,0.8677310581778397,-0.09115322759397887,0.8615537984278159
M2026,0.10067841066145083,0.19953527673479554,0.7014480274168406
M2027,0.10010620737357745,-0.08768385088315686,1.0241352307146119
M2028,1.636122609296875,0.11539300706423408,0.7466504390785005
M2034,2.025637622237838,0.20123600470999187,0.7469128428712715
M2064,4.999984270846179,0.0707042187337908,0.8200168730743116
M2068,4.999833198809468,0.12065265674353587,0.8341786841496853
M2069,4.9809627583936855,0.25498821347025935,0.5842537985070072
M2071,4.998292939499613,0.10760779426814011,0.8078992350039729
M2083,1.012066509774895,0.03676885538836298,0.9109514583062589
M2085,0.8309136403926969,0.06613649091094913,0.8101158275134377
P6005,0.9088165194651608,0.10817727370283023,0.7689248586615416
P6009,0.4609083753663964,0.26967259501062657,0.5041165064768965
P6010,0.10003203618075403,0.2717997155960625,0.4599702405503485
P6013,1.0441148482625797,0.1692590348185171,0.712832405739486
P6016,0.3531934046817309,0.02304906138809284,0.9561573347968446
P6024,0.11385698811530134,0.1416356014116462,0.8219362126097101
P6028,1.6800975468994366,0.26712624296174836,0.5654640581740328
P6033,0.10007159178847495,0.13475970154124772,0.8242367315097767
P6035,1.015563953541626,0.018305735668041938,0.949365782501169
P6037,0.8242398320607626,-0.09618726188990738,1.059513492578509
P6038,0.8983274586673211,0.04444704038599923,0.8906987528801406
