,1.4,1.515,1.631,1.746,1.862,1.977,2.092,2.208,2.323,2.439,2.554,2.669,2.785
0.016,1,1,1,1,1,1,1,1,1,1,1,1,1
0.026,1,1,1,1,1,1,1,1,1,1,1,1,1
0.035,1,1,1,1,1,1,1,1,1,1,1,1,1
0.044,1,1,1,1,1,1,1,1,1,1,1,1,1
0.053,1,1,1,1,1,1,1,1,1,1,1,1,1
0.062,1,1,1,1,1,1,1,1,1,1,1,1,1
0.071,1,1,1,1,1,1,1,1,1,1,1,1,1
0.081,1,1,1,1,1,1,1,1,1,1,1,1,1
0.09,1,1,1,1,1,1,1,1,1,1,1,1,1
0.099,1,1,1,1,1,1,1,1,1,1,1,1,1
0.108,1,1,1,1,1,1,1,1,1,1,1,1,1
0.117,1,1,1,2,2,1,1,1,1,1,1,1,1
0.126,1,2,1,1,1,1,1,1,1,1,1,1,1
