d,H,seed,stable
0.04200000000002744,0.07860324663461564,1,False
0.04200000000002744,0.15945194636229296,2,True
0.04200000000002744,0.07860324662970623,3,False
0.042388489208660785,0.6435309322635241,1,False
0.042388489208660785,0.1592220718985207,2,True
0.042388489208660785,0.07848964551723059,3,False
0.04277697841729414,0.6436184761241691,1,False
0.04277697841729414,0.15899468841141964,2,True
0.04277697841729414,0.07837727024674702,3,False
0.04316546762592748,0.643705307148424,1,False
0.04316546762592748,0.15876974670083457,2,True
0.04316546762592748,0.07826609664924895,3,False
0.04355395683456083,0.64379143883365,1,False
0.04355395683456083,0.15854719884632573,2,True
0.04355395683456083,0.07815610124404583,3,False
0.043942446043194174,4.3781794055284404e-20,0,True
0.043942446043194174,0.6438768834946204,1,False
0.043942446043194174,0.15832699836939249,2,True
0.043942446043194174,0.07804726121323285,3,False
0.044330935251827526,8.009025795038222e-13,0,True
0.044330935251827526,0.6439616535135554,1,False
0.044330935251827526,0.15810909992083158,2,True
0.044330935251827526,0.07793955437732464,3,False
0.04471942446046087,0.6440457607896792,1,False
0.04471942446046087,0.15789345966560264,2,True
0.04471942446046087,0.07783295917198917,3,False
0.04510791366909422,0.0777274546261657,1,False
0.04510791366909422,0.15768003481488715,2,True
0.04510791366909422,0.07772745462582217,3,False
0.04549640287772756,1.9182292255514288e-13,0,True
0.04549640287772756,0.07762302033824682,1,False
0.04549640287772756,0.1574687837875987,2,True
0.04549640287772756,0.0776230203391093,3,False
0.045884892086360915,0.07751963646457417,1,False
0.045884892086360915,0.15725966615448325,2,True
0.045884892086360915,0.07751963646352107,3,False
0.04627338129499426,1.2517414815377053e-12,0,True
0.04627338129499426,0.644375788854412,1,False
0.04627338129499426,0.15705264247355297,2,True
0.04627338129499426,0.07741728368269707,3,False
0.046661870503627606,0.6444567456308967,1,False
0.046661870503627606,0.15684767450266762,2,True
0.046661870503627606,0.07731594319366578,3,False
0.04705035971226096,0.644537114497856,1,False
0.04705035971226096,0.15664472466141238,2,True
0.04705035971226096,0.07721559668906493,3,False
0.047438848920894304,6.379283852967963e-11,0,True
0.047438848920894304,0.07711622633988834,1,False
0.047438848920894304,0.15644375736994637,2,True
0.047438848920894304,0.07711622634011782,3,False
0.04782733812952765,2.337141196251807e-13,0,True
0.04782733812952765,0.6446960903916926,1,False
0.04782733812952765,0.15624473649708057,2,True
0.04782733812952765,0.07701781478032765,3,False
0.048215827338160995,0.6447747214385086,1,False
0.048215827338160995,0.15604762782107665,2,True
0.048215827338160995,0.07692034508985546,3,False
0.04860431654679435,0.6448527935759077,1,False
0.04860431654679435,0.15585239775104065,2,True
0.04860431654679435,0.07682380078054638,3,False
0.04899280575542769,0.6449303160748127,1,False
0.04899280575542769,0.15565901355541797,2,True
0.04899280575542769,0.07672816578157164,3,False
0.04938129496406104,1.0966488335768503e-12,0,True
0.04938129496406104,0.6450072977082876,1,False
0.04938129496406104,0.1554674433135656,2,True
0.04938129496406104,0.07663342442566139,3,False
0.049769784172694384,0.6450837467552166,1,False
0.049769784172694384,0.1552776559147543,2,True
0.049769784172694384,0.07653956143589069,3,False
0.050158273381327736,0.6451596721227654,1,False
0.050158273381327736,0.1550896210139973,2,True
0.050158273381327736,0.07644656191300243,3,False
