subject_id,n_points,window,tau_var,p_var,tau_ac1,p_ac1,global_var,global_ac1,flat_series
C3001,6,3,0.3333333333333334,0.75,-0.3333333333333334,0.75,0.0015888422848551241,0.3438721270673869,False
C3002,6,3,-0.6666666666666669,0.3333333333333333,-0.6666666666666669,0.3333333333333333,0.010890949604982006,0.39882600119806033,False
C3009,6,3,0.3333333333333334,0.75,0.3333333333333334,0.75,0.0034231801516563924,0.602452182478397,False
C3010,6,3,0.0,1.0,0.3333333333333334,0.75,0.00044090242428284943,0.0560760605003047,False
C3012,6,3,-0.3333333333333334,0.75,-0.6666666666666669,0.3333333333333333,0.000546637394298862,0.08689233813968263,False
C3016,7,3,-0.39999999999999997,0.48333333333333334,0.19999999999999998,0.8166666666666667,0.009856208021827989,0.6081356786820029,False
C3017,6,3,0.0,1.0,0.0,1.0,0.0012987053602537036,-0.04095911953971437,False
C3023,7,3,-0.7999999999999999,0.08333333333333333,0.6,0.23333333333333334,0.0013528134038898454,0.20951483502660026,False
C3027,6,3,-1.0,0.08333333333333333,0.0,1.0,0.0005467487623958517,-0.3738098260475735,False
C3032,8,3,,,,,0.0,0.0,True
H4001,8,3,-0.8666666666666666,0.016666666666666666,0.06666666666666665,1.0,0.025347844890757032,0.4538774306463506,False
H4004,8,3,0.9999999999999999,0.002777777777777778,0.3333333333333333,0.46944444444444444,0.003746751574785346,0.2040805503528117,False
H4006,6,3,-0.6666666666666669,0.3333333333333333,0.6666666666666669,0.3333333333333333,0.03682816049457971,0.14280662265864535,False
H4010,7,3,0.5270462766947298,0.206507295485425,-0.7378647873726218,0.07697417298126674,0.0005756510847055691,0.6030340065969929,False
H4014,6,3,-1.0,0.08333333333333333,-0.6666666666666669,0.3333333333333333,0.0014698198481249254,0.06906373196415083,False
H4015,6,3,0.0,1.0,-0.3333333333333334,0.75,0.004291872497218581,-0.31559349396583003,False
H4019,6,3,-1.0,0.08333333333333333,0.0,1.0,0.0024476017989900098,0.26585200757970273,False
H4035,7,3,0.39999999999999997,0.48333333333333334,-0.19999999999999998,0.8166666666666667,0.001755358986567619,0.5926160987961183,False
H4038,6,3,-0.3333333333333334,0.75,-0.6666666666666669,0.3333333333333333,0.006522687220579881,0.004531058473476524,False
M2008,6,3,0.6666666666666669,0.3333333333333333,0.0,1.0,0.005067085200412341,0.5798974857802185,False
M2014,6,3,-0.3333333333333334,0.75,0.3333333333333334,0.75,0.0015202021510420081,-0.23518381696884288,False
M2069,6,3,0.3333333333333334,0.75,-0.3333333333333334,0.75,0.007163618358385596,0.46981538632378417,False
M2085,7,3,-0.7999999999999999,0.08333333333333333,0.7999999999999999,0.08333333333333333,0.0009376439224802217,-0.475822234674506,False
P6005,6,3,-0.6666666666666669,0.3333333333333333,-0.3333333333333334,0.75,0.010924091481197343,0.5399121900899876,False
P6009,6,3,-0.6666666666666669,0.3333333333333333,0.0,1.0,0.0005174521568416987,0.2705532553457553,False
P6010,6,3,-1.0,0.08333333333333333,-0.6666666666666669,0.3333333333333333,0.005060955157025172,0.3554592853674365,False
P6016,6,3,-0.6666666666666669,0.3333333333333333,0.6666666666666669,0.3333333333333333,0.0005323931271986384,0.04299745938222571,False
P6028,6,3,0.3333333333333334,0.75,-0.3333333333333334,0.75,0.0065553833826121405,0.09208396922927531,False
