subject_id,alpha_B,beta0_H,beta1_H
C3001,0.9047174689506096,0.074804604430758,0.8000000000000002
C3002,1.5819602670459019,0.03622932679102554,0.8000000000000002
C3003,0.6000000000000001,0.19999999999999815,0.8424632769896745
C3004,0.600000000000002,-0.1999999999996653,1.1943021577837396
C3006,0.6000000000000004,0.19999999996090645,0.8168581879549439
C3008,0.6698713508797106,0.1999999999987376,0.8414361073736981
C3009,0.6000000000000001,-0.07301688279440849,1.0434734925289093
C3010,0.6000000000000001,0.15122903210561625,0.8000000000000396
C3011,1.5999999999999999,0.19999999999999765,0.8458458649539806
C3012,0.6000000000000001,-0.13814526054639786,1.1999999997871342
C3013,1.5999999999999999,0.16354082230133032,0.8000000000155634
C3015,0.6000000000000001,0.19999999999999768,0.8552437363346566
C3016,0.6000000000000001,0.007896181010501054,0.8000000000000004
C3017,0.6000000000000006,0.17214293116674786,0.800000000024938
C3021,1.599999999999997,0.19999999999991175,0.8336114507906801
C3023,0.6000000000000001,0.19999999999999993,0.8498981606800864
C3027,1.1359907186480525,0.15187609286280154,0.8000000000000234
C3028,0.7501369615282801,-0.19999999999408882,1.1841400446720411
C3031,0.6000000000000004,0.12003547621192853,0.8000000000002879
C3032,0.6000000000000001,0.19999999999971343,0.8538992215013683
C3034,0.6000000000000001,0.1402158761651141,0.8000000000000098
C3035,0.6000000000000001,0.022420647070803476,0.8000000000000004
C3037,1.5999999999999999,0.1475119184494342,0.8000000000000033
E5001,0.6000000000000002,0.12446761065353201,0.8000000000000002
E5004,1.5999999999999999,0.009647508995868567,1.1024141099967497
E5009,0.6345560710612309,0.11848470189918299,0.8000000000032129
E5013,0.6000000000000006,0.1620691409138684,0.8000000000011811
H4001,1.5999999999999999,0.001431720721685327,1.1942620709752447
H4004,0.6000000000000003,0.09972029727948076,0.8000000000000024
H4006,1.5999999999999999,0.17028850786055333,0.8466211132664059
H4007,1.5999999999999999,0.19999999999999563,0.8367478079194534
H4010,0.6000000000000002,0.19999999999999998,0.8529515509921299
H4014,1.5999999999999999,0.19999999999999837,0.8189546169361335
H4015,0.6000000000000031,0.11754451202640064,0.8000000000000146
H4017,0.6000000000000004,0.044028286633789576,0.8000000000000007
H4019,0.6000000000000001,0.19999999999999998,0.936666981149211
H4020,1.0836829143577378,0.19999999998873083,0.8206972770834562
H4027,0.6000000000000001,0.19999999999999993,0.8022529018170509
H4031,0.6000000000000011,0.08803660527443694,0.8000000000000002
H4032,0.600000000000001,-0.17824892931225755,1.1999999999993538
H4035,0.6000000000000001,0.19999999999999993,0.8245525710241957
H4038,1.5999999999999974,0.1999999999999999,0.8532130704082047
H4039,1.2761810880095819,0.19754175718903422,0.8000000000000002
H4042,1.5999999999997483,0.07532458557141451,0.8000000000000003
H4043,0.6000000000000002,0.14757322609848084,0.8000000000042141
M2008,0.6000000000000002,0.16114988043545914,0.8000000000001398
M2014,1.0885922616447579,0.199999999999965,0.8024456116084749
M2021,0.6000000000000004,-0.19189018863100124,1.1999999998389024
M2025,0.6000000000000009,0.028675916143763844,0.800000000001338
M2026,0.6000000000000001,0.19999999999999882,0.8362673343987373
M2027,0.6000000000000001,0.19999999999999887,0.8065420761459448
M2028,1.5999999999999965,0.19474101015676284,0.8000000000000198
M2034,1.5999999999999996,0.043649641385571106,1.0329310550752804
M2064,1.5999999999999999,0.18065141113557767,0.8000000000000058
M2068,1.5999999999999999,0.19999999999999707,0.846916637825974
M2069,1.5999999999999999,0.17478822595263843,0.8000000000000165
M2071,1.5999999999999999,0.19999999999999998,0.8065826117367753
M2083,0.6000000000000003,-0.1692479368259995,1.1999999998997835
M2085,0.6000000000000001,0.13174449159048993,0.8000000000000063
P6005,0.6000000000000001,-0.11506198263375211,1.121216741883967
P6009,0.6000000000024238,0.07080827631225244,0.8000000000000027
P6010,0.6000000000000003,0.11478906538513253,0.8000000000000002
P6013,1.3701182094013256,0.184172137319409,0.8000000000000081
P6016,0.6000000000000006,0.19999997200074324,0.8989556136195977
P6024,0.6000000000000001,0.19999999999999724,0.849954871142014
P6028,1.4415396153810924,0.13842397211307378,0.8000000000000002
P6033,0.6000000000000001,0.1999999999999971,0.8487531914916651
P6035,1.5999999999999999,0.19999999999999998,0.8555262322878517
P6037,1.2426525351857938,0.05167007814808256,0.987511671417863
P6038,0.8431063228622412,0.19999999999999998,0.8222661030904432
