d,H,q,M,B,stable,which,lam_max
0.009041526001553099,0.0,1.6790215095445077e-05,1.8953897593723562e-39,0.0,False,0,0.5937627593186883
0.009238080914630341,0.0,1.6790215081874352e-05,0.0,0.0,False,0,0.5937627593186892
0.009434635827707582,0.0,1.6790215134528864e-05,7.18142889537765e-27,0.0,False,0,0.5937627593186863
0.009631190740784824,0.0,1.6790215150540728e-05,3.134876777379532e-39,0.0,False,0,0.5937627593186855
0.010024300566939306,0.0,1.6790215085181934e-05,0.0,0.0,False,0,0.5937627593186889
0.010220855480016547,0.0,1.6790215119273987e-05,0.0,0.0,False,0,0.5937627593186868
0.010613965306171029,0.0,1.679021512619596e-05,0.0,0.0,False,0,0.5937627593186864
0.010810520219248271,0.0,1.679021507953659e-05,0.0,0.0,False,0,0.5937627593186893
0.011400184958479994,0.0,1.6790215075969496e-05,0.0,0.0,False,0,0.5937627593186895
0.011596739871557236,0.0,1.679021514108286e-05,0.0,0.0,False,0,0.5937627593186854
0.012382959523866201,0.0,1.6790215114926082e-05,2.0702603597932742e-30,0.0,False,0,0.5937627593186869
0.012579514436943443,0.0,1.6790215145889917e-05,0.0,0.0,False,0,0.593762759318685
0.012776069350020684,0.0,1.6790215148624773e-05,1.5577863579237961e-47,0.0,False,0,0.5937627593186852
0.013169179176175168,0.0,1.6790215130051546e-05,0.0,0.0,False,0,0.593762759318686
0.013365734089252408,0.0,1.6790215106143062e-05,0.0,0.0,False,0,0.5937627593186876
0.013562289002329649,0.0,1.6790215170195582e-05,0.0,0.0,False,0,0.5937627593186835
0.01375884391540689,0.0,1.679021506688921e-05,0.0,0.0,False,0,0.59376275931869
0.013955398828484133,0.0,1.679021516156971e-05,0.0,0.0,False,0,0.593762759318684
0.014348508654638615,0.0,1.6790215166420614e-05,0.0,0.0,False,0,0.5937627593186838
0.014741618480793098,0.0,1.6790215138410972e-05,0.0,0.0,False,0,0.5937627593186856
0.014938173393870338,0.0,1.679021515896371e-05,3.5520251490132453e-47,0.0,False,0,0.5937627593186842
0.015331283220024822,0.0,1.679021516224793e-05,6.195003460176354e-40,0.0,False,0,0.5937627593186842
0.015527838133102063,0.0,1.679021513175127e-05,0.0,0.0,False,0,0.5937627593186859
0.015724393046179303,0.0,1.679021496976525e-05,1.6674120734932462e-29,0.0,False,0,0.5937627593186965
0.015920947959256547,0.0,1.679021509727743e-05,5.482887880434124e-30,0.0,False,0,0.5937627593186885
0.016117502872333787,0.0,1.679021511864975e-05,4.388202630473766e-39,0.0,False,0,0.593762759318687
0.016314057785411028,0.0,1.6790215023362438e-05,1.5591587857636488e-31,0.0,False,0,0.593762759318692
0.016510612698488268,0.0,1.679021514761183e-05,1.3194382040214483e-44,0.0,False,0,0.5937627593186849
0.016903722524642752,0.0,1.6790215080099056e-05,0.0,0.0,False,0,0.5937627593186893
0.017100277437719993,0.0,1.679021514855063e-05,1.4549034728697975e-32,0.0,False,0,0.593762759318685
0.017296832350797237,0.0,1.679021515770327e-05,0.0,0.0,False,0,0.5937627593186844
0.017689942176951717,0.0,1.67902150941516e-05,5.671040495967728e-31,0.0,False,0,0.5937627593186887
0.017886497090028958,0.0,1.6790215075164824e-05,0.0,0.0,False,0,0.5937627593186896
0.018083052003106198,0.0,1.6790215080315225e-05,8.874846230892538e-31,0.0,False,0,0.5937627593186896
0.018279606916183442,0.0,1.679021504850587e-05,0.0,0.0,False,0,0.5937627593186913
0.018476161829260682,0.0,1.67902151208194e-05,1.6778645475121252e-26,0.0,False,0,0.5937627593186869
0.018672716742337926,6.71029496539402e-11,1.679021521602287e-05,7.823419614378178e-32,7.663027819287617e-13,False,0,0.5937627593186806
0.019065826568492407,7.861032898985761e-12,1.679021517623885e-05,0.0,9.16614100963189e-14,False,0,0.5937627593186832
0.019262381481569647,0.0,1.679021516671245e-05,0.0,0.0,False,0,0.5937627593186837
0.019458936394646888,0.0,1.679021500934604e-05,3.865626891169762e-23,0.0,False,0,0.5937627593186933
0.01965549130772413,9.078503362867196e-11,1.679021523192665e-05,1.3374761048962005e-26,1.091313291749857e-12,False,0,0.5937627593186791
0.020048601133878616,1.3161629031930441e-11,1.679021517979846e-05,0.0,1.6137825069718675e-13,False,0,0.5937627593186829
0.020245156046955856,1.7709218632874441e-10,1.679021528988639e-05,1.0547377775789462e-25,2.1926626071391042e-12,False,0,0.5937627593186758
0.020441710960033097,0.0,1.679021517048891e-05,0.0,0.0,False,0,0.5937627593186835
0.020638265873110337,0.0,1.6790215098790417e-05,2.2822426627021644e-26,0.0,False,0,0.593762759318688
0.020834820786187577,0.0,1.6790215124381294e-05,0.0,0.0,False,0,0.5937627593186865
0.02122793061234206,0.0,1.6790215153874345e-05,1.572011378124998e-35,0.0,False,0,0.5937627593186852
0.021424485525419302,0.0,1.67902151489657e-05,0.0,0.0,False,0,0.5937627593186848
0.021621040438496546,0.0,1.679021508307612e-05,0.0,0.0,False,0,0.593762759318689
0.021817595351573786,0.0,1.679021515003111e-05,0.0,0.0,False,0,0.5937627593186848
0.022210705177728267,0.0,1.6790215117102225e-05,4.46046430377474e-28,0.0,False,0,0.5937627593186872
0.022407260090805507,0.0,1.6790215170785876e-05,0.0,0.0,False,0,0.5937627593186835
0.02260381500388275,0.0,1.6790215108094596e-05,1.1600665294114212e-36,0.0,False,0,0.5937627593186884
