subject,R2_logspace,n_aligned,lag_F,lag_A,lag_L
C3032,-2.28050726776307,6,0,0,1
C3037,0.2998890916520741,6,0,0,1
H4001,-0.3380752384749619,6,0,0,1
H4004,0.2062077873710012,6,0,0,1
