subject,R2_logspace,n,lag_F,lag_A
C3016,0.3582063171017339,7,1,0
C3023,0.04916105328362064,7,1,0
C3032,0.11756585030563316,8,1,0
C3037,4.86166662483356e-13,8,1,0
H4001,0.11526413701923521,8,1,0
H4004,0.5413396401187689,8,1,0
H4010,1.3920939806788546e-05,7,1,0
H4035,0.013306479643176106,7,1,0
M2061,0.17248125450966179,7,1,0
M2085,0.257508869551449,7,1,0
