metric,median,q1,q3,IQR
NRMSE,0.24606357847068766,0.22500500833056253,0.3067453477453163,0.08174033941475378
p_low,0.7591017235850624,0.4689600513230191,0.7982428877399327,0.3292828364169136
p_high,3.581678120455668,3.1609078755323,3.8707006864256805,0.7097928108933806
p_gap,2.87183725789207,2.4895244592666343,3.2642407437680916,0.7747162845014572
H_on,0.5657679268313001,0.5553505051144041,0.6669536554419524,0.1116031503275483
H_off,0.94725,0.889530423792383,0.947261588514733,0.05773116472234996
H_band,0.30904956949240714,0.21970992838542086,0.386798858694177,0.16708893030875616
tau_q,13.266879397891582,5.64810334788619,16.27268874815764,10.624585400271451
u,0.5251757414970729,0.5000000000000001,0.5736792348304283,0.07367923483042815
g,0.10144605021192475,0.1,0.250518798422003,0.15051879842200297
d,0.19865003432195455,0.1866432152044688,0.1999999999999294,0.013356784795460597
r_max,0.4295557865396801,0.36018744376202694,0.5252882115948869,0.16510076783285998
K_M,1.8383027329941648,1.4658282180389175,1.9999717018275633,0.5341434837886458
alpha,0.5850937554846876,0.2212783817006538,1.0225377471861656,0.8012593654855118
