subject_id,success,cost,RMSE,NRMSE,r_max,K_M,c,d,g,u,p_low,p_high,H_on,H_off,tau_q,alpha,p_gap,H_band
2,True,2.1267417369963164,0.8419702562039264,0.0768675991384445,0.5862424281658274,2.0,0.0312101070987378,0.1999999999999999,0.1,0.5000000000000001,0.7999999999999999,3.2189467702953816,0.5313748742700573,0.6955357801892417,3.46005298113343,0.5806409007483201,2.4189467702953817,0.1641609059191844
6,True,2.122246552790723,0.8410799709878412,0.1776149077767695,0.2425425164859136,1.220547197876985,0.0820457044340845,0.1122862914957337,0.3300654734422187,0.5597506376140393,0.1874277840187779,2.7004781396091637,0.7477500000000006,0.9472963540589318,7.234755399937272,0.0061189311204129,2.5130503555903854,0.1995463540589311
20,True,2.8437205902893434,0.9736050859716074,0.2014895715023939,0.3614951182775322,1.7872755809364005,0.0892273654706885,0.1928579536468394,0.2416190849056312,0.5733541413531669,0.7990022543381481,2.657009867732004,0.6232967872388853,0.94725,3.9996875862901513,1.4158465105466196,1.858007613393856,0.3239532127611148
27,True,9.392468184652513,1.769413102759642,0.2328434872732854,0.4275496586290571,1.8893298850519291,0.0404424500326988,0.1866601252687555,0.2772179389711183,0.5503288097554442,0.7789051329683452,3.827602975892323,0.5614377432100739,0.9473835510759842,12.689818212138174,0.9898504370428176,3.048697842923978,0.3859458078659102
24,True,3.4210364527143926,1.067869600765061,0.2392389895128231,0.2082229490341667,1.767423249155779,0.0211940716283841,0.1981459125794378,0.1028882564552664,0.5746545152622123,0.7489107024987239,2.986791191243056,0.5578919888210225,0.94725,6.197575268418203,1.1205996776162097,2.237880488744332,0.3893580111789775
25,True,1.1019429181113929,0.6639105114731632,0.2411609898448864,0.4902579808233811,0.695801057442007,0.1207231527855322,0.1999999999999999,0.1,0.5000000000000001,0.5490491822951566,3.9999999999118474,0.5700981104525261,0.8556924197085204,3.734095251905983,0.5816765810880802,3.4509508176166896,0.2855943092559942
14,True,10.581111930121624,1.878040816926124,0.2509661670964889,0.5999999949223986,1.4846562482420569,0.0200000012588479,0.1865924850116087,0.3189098766252868,0.5894401163602268,0.1646677340515534,3.672586955942942,0.5477260539945487,0.94725,13.843940583644992,4.4669556488763176e-14,3.5079192218913886,0.3995239460054512
33,True,22.361642244961548,2.7301796183255997,0.2643529815625471,0.599389067792882,1.9999999998775584,0.0202069501999013,0.1999999999999059,0.1,0.5000000000000001,0.7979897655405276,3.999993818025753,0.6489985805317979,0.94725,16.703518813673917,1.9193275656293556,3.2020040524852256,0.2982514194682021
23,True,3.6781195602729695,1.107266839304927,0.2971021786226104,0.5049701394045735,1.4093441274294995,0.0246076594658648,0.1991541560644713,0.136628234038887,0.7881279390717236,0.6849665334851738,3.490769284968394,0.74775,0.8926787407844377,16.518873669156175,0.5894769596854427,2.8058027514832204,0.1449287407844376
17,True,88.12738200549893,5.419944095821744,0.3356748551134341,0.3768824837616234,2.0,0.089697589872993,0.1999999999999999,0.1,0.5000000000000001,0.2286926584066064,4.0,0.7208188801724158,0.94725,15.13608541031469,1.2553982583860359e-29,3.771307341593393,0.2264311198275841
36,True,141.4887061589566,6.867525176727461,0.364016650775794,0.431561914450303,1.9767788304128455,0.1070975013487328,0.1520388625705775,0.1000003814312307,0.5000226732387016,0.769292744671401,3.707164508972321,0.5123053983318913,0.9488915388747484,16.70947027904213,0.2929981985607341,2.93787176430092,0.4365861405428571
30,True,33.807346885061264,3.677354858322012,0.3989160478434904,0.3562644202155111,1.9999622691442316,0.0846120327319451,0.1999995197410629,0.1000038439685831,0.5000000007825456,0.7999995458159196,3.314605038315139,0.560237753299607,0.8800854728162192,16.190627107824795,0.5885109298812948,2.514605492499219,0.3198477195166122
