subject,n_aligned,R2_logspace,p0,lambda_B,alpha_F,alpha_A,k_LB,alpha_obs,beta_obs,lag_F,lag_A,lag_L
C3032,6,-1.3340509891736518,0.15519372942544823,0.01,0.004121102131932552,-0.002095015064852393,0.0013031730629635544,4.664866226619983,0.6885983765507,1,0,1
C3037,6,0.25908390250959545,0.15453670134702466,0.01,0.004121102131932552,-0.002095015064852393,0.0013031730629635544,4.664866226619983,0.6885983765507,1,0,1
H4001,6,-0.738200598736418,0.15867551763238133,0.01,0.004121102131932552,-0.002095015064852393,0.0013031730629635544,4.664866226619983,0.6885983765507,1,0,1
H4004,6,0.11768384124449394,0.1474518303306417,0.01,0.004121102131932552,-0.002095015064852393,0.0013031730629635544,4.664866226619983,0.6885983765507,1,0,1
