subject,R2_logspace,n,lag_F,lag_A,lag_L
C3016,0.6704415408205542,7,1,0,1
C3023,0.7702809712453881,7,1,0,1
C3032,0.14910602272494244,8,1,0,1
C3037,0.47268432298918395,8,1,0,1
H4001,0.0021612642667613313,8,1,0,1
H4004,0.03661332759554048,8,1,0,1
H4010,0.015897148712886833,7,1,0,1
H4035,0.012239194991357616,7,1,0,1
M2061,0.37894482221892856,7,1,0,1
M2085,2.243871755069904e-12,7,1,0,1
