mode,U,T,area_UxT,success,U1,U2
prebiotic,0.625,48.0,30.0,False,,
prebiotic,0.625,48.0,30.0,False,,
prebiotic,0.3125,96.0,30.0,False,,
prebiotic,0.15625,192.0,30.0,False,,
prebiotic,0.625,96.0,60.0,False,,
prebiotic,0.3125,192.0,60.0,False,,
prebiotic,0.15625,384.0,60.0,False,,
prebiotic,0.625,192.0,120.0,False,,
prebiotic,0.3125,384.0,120.0,False,,
prebiotic,0.5208333333333334,384.0,200.0,False,,
prebiotic,0.8333333333333334,384.0,320.0,False,,
butyrate,0.625,48.0,30.0,False,,
butyrate,0.3125,96.0,30.0,False,,
butyrate,0.17857142857142858,168.0,30.0,False,,
butyrate,0.17857142857142858,168.0,30.0,False,,
butyrate,0.625,96.0,60.0,False,,
butyrate,0.35714285714285715,168.0,60.0,False,,
butyrate,0.35714285714285715,168.0,60.0,False,,
butyrate,0.5952380952380952,168.0,100.0,False,,
butyrate,0.5952380952380952,168.0,100.0,False,,
antiinf,0.3125,96.0,30.0,False,,
antiinf,0.15625,192.0,30.0,False,,
antiinf,0.3125,192.0,60.0,False,,
antiinf,0.15625,384.0,60.0,False,,
antiinf,0.3125,384.0,120.0,False,,
antiinf,0.5208333333333334,384.0,200.0,False,,
prebiotic+antiinf,,72.0,40.0,False,0.2777777777777778,0.2777777777777778
prebiotic+antiinf,,72.0,40.0,False,0.3888888888888889,0.16666666666666666
prebiotic+antiinf,,72.0,40.0,False,0.16666666666666666,0.3888888888888889
prebiotic+antiinf,,72.0,40.0,False,0.4444444444444444,0.1111111111111111
prebiotic+antiinf,,72.0,40.0,False,0.1111111111111111,0.4444444444444444
prebiotic+antiinf,,96.0,40.0,False,0.20833333333333334,0.20833333333333334
prebiotic+antiinf,,96.0,40.0,False,0.2916666666666667,0.125
prebiotic+antiinf,,96.0,40.0,False,0.125,0.2916666666666667
prebiotic+antiinf,,192.0,40.0,False,0.10416666666666667,0.10416666666666667
prebiotic+antiinf,,72.0,80.0,False,0.5555555555555556,0.5555555555555556
prebiotic+antiinf,,72.0,80.0,False,0.7777777777777778,0.3333333333333333
prebiotic+antiinf,,72.0,80.0,False,0.8888888888888888,0.2222222222222222
prebiotic+antiinf,,96.0,80.0,False,0.4166666666666667,0.4166666666666667
prebiotic+antiinf,,96.0,80.0,False,0.5833333333333334,0.25
prebiotic+antiinf,,96.0,80.0,False,0.25,0.5833333333333334
prebiotic+antiinf,,96.0,80.0,False,0.6666666666666666,0.16666666666666666
prebiotic+antiinf,,192.0,80.0,False,0.20833333333333334,0.20833333333333334
prebiotic+antiinf,,192.0,80.0,False,0.2916666666666667,0.125
prebiotic+antiinf,,192.0,80.0,False,0.125,0.2916666666666667
prebiotic+antiinf,,384.0,80.0,False,0.10416666666666667,0.10416666666666667
prebiotic+antiinf,,192.0,140.0,False,0.3645833333333333,0.3645833333333333
prebiotic+antiinf,,192.0,140.0,False,0.5104166666666666,0.21875
prebiotic+antiinf,,192.0,140.0,False,0.21875,0.5104166666666666
prebiotic+antiinf,,192.0,140.0,False,0.5833333333333334,0.14583333333333334
prebiotic+antiinf,,192.0,140.0,False,0.14583333333333334,0.5833333333333334
prebiotic+antiinf,,384.0,140.0,False,0.18229166666666666,0.18229166666666666
prebiotic+antiinf,,384.0,140.0,False,0.2552083333333333,0.109375
prebiotic+antiinf,,384.0,140.0,False,0.109375,0.2552083333333333
prebiotic+antiinf,,192.0,220.0,False,0.5729166666666666,0.5729166666666666
prebiotic+antiinf,,192.0,220.0,False,0.8020833333333334,0.34375
prebiotic+antiinf,,192.0,220.0,False,0.9166666666666666,0.22916666666666666
prebiotic+antiinf,,384.0,220.0,False,0.2864583333333333,0.2864583333333333
prebiotic+antiinf,,384.0,220.0,False,0.4010416666666667,0.171875
prebiotic+antiinf,,384.0,220.0,False,0.171875,0.4010416666666667
prebiotic+antiinf,,384.0,220.0,False,0.4583333333333333,0.11458333333333333
prebiotic+antiinf,,384.0,220.0,False,0.11458333333333333,0.4583333333333333
prebiotic+antiinf,,384.0,320.0,False,0.4166666666666667,0.4166666666666667
prebiotic+antiinf,,384.0,320.0,False,0.5833333333333334,0.25
prebiotic+antiinf,,384.0,320.0,False,0.25,0.5833333333333334
prebiotic+antiinf,,384.0,320.0,False,0.6666666666666666,0.16666666666666666
prebiotic+antiinf,,384.0,480.0,False,0.875,0.375
prebiotic+antiinf,,384.0,480.0,False,1.0,0.25
butyrate+antiinf,,48.0,40.0,False,0.4166666666666667,0.4166666666666667
butyrate+antiinf,,48.0,40.0,False,0.5833333333333334,0.25
butyrate+antiinf,,48.0,40.0,False,0.25,0.5833333333333334
butyrate+antiinf,,48.0,40.0,False,0.6666666666666666,0.16666666666666666
butyrate+antiinf,,96.0,40.0,False,0.20833333333333334,0.20833333333333334
butyrate+antiinf,,96.0,40.0,False,0.2916666666666667,0.125
butyrate+antiinf,,96.0,40.0,False,0.125,0.2916666666666667
butyrate+antiinf,,96.0,40.0,False,0.08333333333333333,0.3333333333333333
butyrate+antiinf,,192.0,40.0,False,0.10416666666666667,0.10416666666666667
butyrate+antiinf,,192.0,40.0,False,0.0625,0.14583333333333334
butyrate+antiinf,,192.0,40.0,False,0.041666666666666664,0.16666666666666666
butyrate+antiinf,,96.0,80.0,False,0.4166666666666667,0.4166666666666667
butyrate+antiinf,,96.0,80.0,False,0.5833333333333334,0.25
butyrate+antiinf,,96.0,80.0,False,0.25,0.5833333333333334
butyrate+antiinf,,96.0,80.0,False,0.6666666666666666,0.16666666666666666
butyrate+antiinf,,192.0,80.0,False,0.20833333333333334,0.20833333333333334
butyrate+antiinf,,192.0,80.0,False,0.2916666666666667,0.125
butyrate+antiinf,,192.0,80.0,False,0.125,0.2916666666666667
butyrate+antiinf,,192.0,80.0,False,0.08333333333333333,0.3333333333333333
butyrate+antiinf,,336.0,80.0,False,0.11904761904761904,0.11904761904761904
butyrate+antiinf,,336.0,80.0,False,0.07142857142857142,0.16666666666666666
butyrate+antiinf,,336.0,80.0,False,0.047619047619047616,0.19047619047619047
butyrate+antiinf,,192.0,140.0,False,0.3645833333333333,0.3645833333333333
butyrate+antiinf,,192.0,140.0,False,0.5104166666666666,0.21875
butyrate+antiinf,,192.0,140.0,False,0.21875,0.5104166666666666
butyrate+antiinf,,192.0,140.0,False,0.5833333333333334,0.14583333333333334
butyrate+antiinf,,192.0,140.0,False,0.14583333333333334,0.5833333333333334
butyrate+antiinf,,336.0,140.0,False,0.20833333333333334,0.20833333333333334
butyrate+antiinf,,336.0,140.0,False,0.2916666666666667,0.125
butyrate+antiinf,,336.0,140.0,False,0.125,0.2916666666666667
butyrate+antiinf,,336.0,140.0,False,0.08333333333333333,0.3333333333333333
butyrate+antiinf,,192.0,220.0,False,0.5729166666666666,0.5729166666666666
butyrate+antiinf,,336.0,220.0,False,0.3273809523809524,0.3273809523809524
butyrate+antiinf,,336.0,220.0,False,0.4583333333333333,0.19642857142857142
butyrate+antiinf,,336.0,220.0,False,0.19642857142857142,0.4583333333333333
butyrate+antiinf,,336.0,220.0,False,0.5238095238095238,0.13095238095238096
butyrate+antiinf,,336.0,220.0,False,0.13095238095238096,0.5238095238095238
butyrate+antiinf,,336.0,320.0,False,0.47619047619047616,0.47619047619047616
butyrate+antiinf,,336.0,320.0,False,0.6666666666666666,0.2857142857142857
qboost+prebiotic,,48.0,40.0,False,0.16666666666666666,0.6666666666666666
qboost+prebiotic,,96.0,40.0,False,0.125,0.2916666666666667
qboost+prebiotic,,96.0,40.0,False,0.08333333333333333,0.3333333333333333
qboost+prebiotic,,192.0,40.0,False,0.10416666666666667,0.10416666666666667
qboost+prebiotic,,192.0,40.0,False,0.0625,0.14583333333333334
qboost+prebiotic,,192.0,40.0,False,0.041666666666666664,0.16666666666666666
qboost+prebiotic,,96.0,80.0,False,0.16666666666666666,0.6666666666666666
qboost+prebiotic,,192.0,80.0,False,0.125,0.2916666666666667
qboost+prebiotic,,192.0,80.0,False,0.08333333333333333,0.3333333333333333
qboost+prebiotic,,336.0,80.0,False,0.11904761904761904,0.11904761904761904
qboost+prebiotic,,336.0,80.0,False,0.07142857142857142,0.16666666666666666
qboost+prebiotic,,336.0,80.0,False,0.047619047619047616,0.19047619047619047
qboost+prebiotic,,192.0,140.0,False,0.14583333333333334,0.5833333333333334
qboost+prebiotic,,336.0,140.0,False,0.125,0.2916666666666667
qboost+prebiotic,,336.0,140.0,False,0.08333333333333333,0.3333333333333333
qboost+prebiotic,,336.0,220.0,False,0.19642857142857142,0.4583333333333333
qboost+prebiotic,,336.0,220.0,False,0.13095238095238096,0.5238095238095238
qboost+prebiotic,,336.0,320.0,False,0.19047619047619047,0.7619047619047619
