subject,n_aligned,R2_logspace,p0,lambda_B,alpha_F,alpha_A,k_LB,alpha_obs,beta_obs,lag_F,lag_A,lag_L,within_subject_center
C3032,6,-0.15955961305502653,9.148432994778156,0.6,-0.2813549508877326,0.0,0.0,15.315378385540287,-0.009288446652457982,0,0,1,True
C3037,6,0.16391169786778492,8.928134260664761,0.6,-0.2813549508877326,0.0,0.0,15.315378385540287,-0.009288446652457982,0,0,1,True
H4001,6,-1.073072388640734,9.084962091814099,0.6,-0.2813549508877326,0.0,0.0,15.315378385540287,-0.009288446652457982,0,0,1,True
H4004,6,-0.10683786031286924,8.819568693772212,0.6,-0.2813549508877326,0.0,0.0,15.315378385540287,-0.009288446652457982,0,0,1,True
