subject,R2_logspace,n_aligned,lag_F,lag_A,lag_L
C3032,-0.15955961305502653,6,0,0,1
C3037,0.16391169786778492,6,0,0,1
H4001,-1.073072388640734,6,0,0,1
H4004,-0.10683786031286924,6,0,0,1
