metabolite,local_sample_id,butyrate_intensity_norm,butyrate_log1p_norm,median_norm_factor,subject_id,time_hr
butyrate,SM-5Q4W7,242703112809.1216,26.215104775349175,1.9221652932276142e-05,,
butyrate,SM-5QVZ9,9845051107.540247,23.010234740343503,0.0008860389757976013,,
butyrate,SM-5QVZD,6820151.35786662,15.735392369433255,0.8236556207100323,,
butyrate,SM-5U5DE,6028136.352064759,15.611948624146564,0.7749443156507114,,
butyrate,SM-5WXZX,9196240.858400404,16.03430546491088,0.7335632139123207,,
butyrate,SM-5XHHR,4548483.584086627,15.330304677008352,0.7623437428974045,,
butyrate,SM-5ZNHM,865168.1792825735,13.670680349775791,1.1049736026962265,,
butyrate,SM-5ZNHS,8883430.975340629,15.999698524012292,1.400074029338996,,
butyrate,SM-5ZZL9,5498378.402655712,15.519963952721064,1.0211243368205047,,
butyrate,SM-61N7T,2559437.807271543,14.755298576514871,0.582192697070646,,
butyrate,SM-61NJ9,4102870.1674895277,15.227197571343124,0.8228451942620768,,
butyrate,SM-61U3T,4850431.181135837,15.394578368456193,1.186843557824057,,
butyrate,SM-61YN5,592113.6161744224,13.291455503529196,1.590895690063834,,
butyrate,SM-62ARQ,7129495.661159828,15.779751195390832,1.2063470417486508,,
butyrate,SM-63ZAH,2943646.263532767,14.89515993627637,1.4780814712357055,,
butyrate,SM-64NA9,6110217.193502189,15.625473041394315,1.3956582442059056,,
butyrate,SM-65GXK,7731796.577408357,15.860851939118767,0.8674329352632912,,
butyrate,SM-67WTX,5624436.904127537,15.542631572906503,0.9783327813601917,,
butyrate,SM-689O4,5434883.511638876,15.508348829303197,1.0408940666134174,,
butyrate,SM-689SS,3628636.450516624,15.104367777792191,0.9143194820543791,,
butyrate,SM-69UMY,6413890.185329658,15.673976693910419,1.4949471729234445,,
butyrate,SM-6AXJO,10782046.482898494,16.19339303888857,1.530465670517491,,
butyrate,SM-6BKS1,16054893.986205695,16.591524344606484,0.8641262914548064,,
butyrate,SM-6BQPK,25490.529707583206,10.146101507636327,1.2781217328060366,,
butyrate,SM-6CAJC,5417539.587012406,15.505152504198904,0.9760807309423155,,
butyrate,SM-6CAJI,7527067.54596525,15.834016220653195,0.9353905697012201,,
butyrate,SM-6CAKR,5248647.923397662,15.473481253523893,0.7980180917314423,,
butyrate,SM-6DRTP,3085297.6039568353,14.942159002843992,0.7150208126343405,,
butyrate,SM-6EFPD,6190606.666598095,15.638543808921362,0.5050723084815544,,
butyrate,SM-6FNVI,3687561.612400554,15.120476259120109,0.8459579331528057,,
butyrate,SM-6FNW6,3404910.5002674432,15.040729506117092,0.9178235374335197,,
butyrate,SM-6GH65,2684240.1641537175,14.802908625553503,0.5344853337489366,,
butyrate,SM-6HUBR,5417590.020503534,15.50516181345198,0.6533855434987305,,
butyrate,SM-6HUG5,3179213.175599424,14.972144609627142,0.6444786451332204,,
butyrate,SM-6J3OB,94270.6662036936,11.453935959037155,0.47595929685115557,,
butyrate,SM-6JWO4,2607521.8998102928,14.773911248104326,0.7681362139837525,,
butyrate,SM-6KUC9,5028145.883156383,15.430562061303846,0.9180741981778393,,
butyrate,SM-6KUCD,2080622.9788383367,14.548178396515674,1.503890436578286,,
butyrate,SM-6KUCH,5910001.4096707655,15.592156797109908,1.0201242913638933,,
butyrate,SM-6KUCT,3309068.117300707,15.01217747435581,1.392289259901424,,
butyrate,SM-6KUD2,5828224.827664682,15.578223194287885,1.4581117323514705,,
butyrate,SM-6M2VX,4802366.471199707,15.38461957745016,1.0363821732156657,,
butyrate,SM-6M48S,3843404.6953073856,15.161869431320284,1.8449280162085289,,
butyrate,SM-6MSSO,3260527.02010062,14.99739970958329,1.5001188365704934,,
butyrate,SM-6MSSW,4377991.494652576,15.292100842731035,0.6156903235861371,,
butyrate,SM-6MYZ2,2965900.920442926,14.9026917331774,0.4394823141311618,,
butyrate,SM-6OLSC,6277931.427923325,15.652551253013483,0.943284435006786,,
butyrate,SM-6OOEJ,3950832.3512739968,15.189437089631284,1.140342742851948,,
butyrate,SM-6OSOU,4936597.879180884,15.412187166053009,1.3093582175813185,,
butyrate,SM-6Q4FM,4724876.570526735,15.368352207574652,1.5257135064580858,,
butyrate,SM-6Q4FQ,7768075.137462385,15.865533090329361,0.8273713740234946,,
butyrate,SM-6RB9P,8347600.785518925,15.93748484425887,1.5869708363367165,,
butyrate,SM-6SF6T,4308470.715195133,15.27609380875591,1.7066048456748033,,
butyrate,SM-6SSMY,9028144.408917844,16.015857523227368,1.931368308949108,,
butyrate,SM-6TO52,8849498.856107961,15.99587150195304,0.7596137486768879,,
butyrate,SM-6WJN1,10410410.452100568,16.15831696450753,1.014861714493516,,
butyrate,SM-6WOC1,7412412.233095143,15.818666616734973,1.0050976343080529,,
butyrate,SM-6WU1I,7220664.234535909,15.792457644371943,0.810418655393427,,
butyrate,SM-6X9W2,6191857.532911522,15.638745847238694,1.1835693830239036,,
butyrate,SM-6X9W6,4512751.544451622,15.322417845586706,0.9007136688031274,,
butyrate,SM-6X9WA,5630274.704633965,15.543668969544553,0.6232919678167189,,
butyrate,SM-6X9WE,3236159.8511880566,14.989898262720004,1.3900333132025482,,
butyrate,SM-6X9WM,7542475.072906982,15.836061077707635,0.7431974180644575,,
butyrate,SM-6X9WU,3436775.8286864934,15.050044621715212,0.6414369484327209,,
butyrate,SM-6XJTB,8075742.1044711955,15.904375448160435,0.6978317196236192,,
butyrate,SM-6XJTF,1685284.4196548564,14.337445495943186,0.8262700252608884,,
butyrate,SM-6XJTN,3275986.9438347747,15.00213004380021,0.7231081932295624,,
butyrate,SM-6XJUC,2451559.4745309534,14.712235308148099,0.9122258803971609,,
butyrate,SM-6XNM3,12604974.195389567,16.349602150763236,0.9614995486807842,,
butyrate,SM-6XRKG,8631149.08893111,15.970888320568744,1.144290974265064,,
butyrate,SM-6XSL6,3186938.593391189,14.974571639153696,1.612992798373952,,
butyrate,SM-6XSLI,3132456.8778682235,14.957328518852126,1.2947536576337886,,
butyrate,SM-6XTSQ,3652358.0964498706,15.110883844573305,0.5823355607073049,,
butyrate,SM-6XTSU,3526782.8934806865,15.075896935291274,0.9917437805614541,,
butyrate,SM-6XTSY,14902018.648956908,16.517007308639894,1.13927256433734,,
butyrate,SM-6Y2UL,8206086.134837599,15.920386770358018,0.9771794821842551,,
butyrate,SM-6Y87V,4151646.100035868,15.239015705041162,0.8617820290532686,,
butyrate,SM-6YAZN,4807249.958849386,15.385635952471837,0.8748748319728819,,
butyrate,SM-6YAZR,1755105.3596542506,14.378040016837364,1.0619989220289234,,
butyrate,SM-6ZEU8,3629253.6008197395,15.104537841028248,0.9781821251615334,,
butyrate,SM-6ZEUG,3011870.5527105127,14.918072221810156,1.1006708097121298,,
butyrate,SM-6ZEV1,4379703.339523608,15.29249177768237,1.7459403998883065,,
butyrate,SM-6ZEVH,2334731.395038008,14.663407836537928,1.0883221964634757,,
butyrate,SM-6ZEVL,3770878.870870173,15.142818919692287,0.8158474735864617,,
butyrate,SM-6ZJI5,5412255.46737752,15.504176655800697,2.0328911054398575,,
butyrate,SM-6ZJI9,13096239.512764446,16.387835763225223,2.507128246089108,,
butyrate,SM-6ZKSA,2439503.7969252905,14.707305624592026,0.8611066736799725,,
butyrate,SM-6ZKT1,7844955.669698426,15.87538142083235,1.665275694349743,,
butyrate,SM-6ZKY3,5961482.911535845,15.600829986497155,1.1701947491119726,,
butyrate,SM-6ZT2N,5233466.490293952,15.47058461640987,1.068869364191879,,
butyrate,SM-6ZT2V,4548099.393686166,15.330220207858307,1.1967258251998467,,
butyrate,SM-6ZT3C,5771740.970186574,15.568484494166778,1.5192573688414408,,
butyrate,SM-6ZT3G,17323.712196629018,9.759889211892938,1.0593572435110687,,
butyrate,SM-6ZT3W,4012073.728391352,15.204819054109677,0.9854006350938029,,
butyrate,SM-6ZUH2,7055002.936998438,15.769247701312615,1.6517348191151546,,
butyrate,SM-71WX9,840622.7869357822,13.64189949872093,1.761051476365809,,
butyrate,SM-71WXD,2750568.612208423,14.827318579906096,0.566804984642159,,
butyrate,SM-71WXH,4508311.885672832,15.32143355849299,1.0258336417889125,,
butyrate,SM-71WXX,10243129.873618474,16.142117880220624,0.8013104491762613,,
butyrate,SM-71WY2,4158897.9734355113,15.240760927358968,0.7194288052054314,,
butyrate,SM-71ZV9,5721611.634226269,15.559761252681987,1.240092731487795,,
butyrate,SM-727GQ,13900096.099257581,16.447406383634622,1.0681602410499178,,
