d,H_forward,H_backward,q_forward,q_backward,H_gap
0.06,0.962444817771306,0.9624552878610146,0.0,0.0,-1.0470089708669583e-05
0.07294117647058823,0.9550564614216731,0.9550564616480867,0.0,0.0,-2.2641355457153622e-10
0.08588235294117647,0.9478753885025862,0.9478753885025909,0.0,0.0,-4.6629367034256575e-15
0.09882352941176471,0.9409004570822695,0.9409004570822697,0.0,0.0,-1.1102230246251565e-16
0.11176470588235295,0.9341209527887078,0.9341209527887079,0.0,0.0,-1.1102230246251565e-16
0.12470588235294118,0.9275269676312439,0.927526967631244,0.0,0.0,-1.1102230246251565e-16
0.13764705882352943,0.9211093211739433,0.9211093211739435,0.0,0.0,-2.220446049250313e-16
0.15058823529411766,0.914859490964186,0.9148594909641861,0.0,0.0,-1.1102230246251565e-16
0.1635294117647059,0.9087695511058469,0.908769551105847,0.0,0.0,-1.1102230246251565e-16
0.17647058823529413,0.9028321178555997,0.9028321178555999,0.0,0.0,-2.220446049250313e-16
0.18941176470588236,0.897040301297492,0.8970403012974921,0.0,0.0,-1.1102230246251565e-16
0.2023529411764706,0.8913876622964052,0.8913876622964053,0.0,0.0,-1.1102230246251565e-16
0.21529411764705886,0.8858681740513558,0.8858681740513559,0.0,0.0,-1.1102230246251565e-16
0.2282352941176471,0.8804761876696315,0.8804761876696318,0.0,0.0,-2.220446049250313e-16
0.24117647058823533,0.8752064012662485,0.8752064012662487,0.0,0.0,-2.220446049250313e-16
0.25411764705882356,0.8700538321631998,0.8700538321631999,0.0,0.0,-1.1102230246251565e-16
0.2670588235294118,0.8650137918218518,0.8650137918218519,0.0,0.0,-1.1102230246251565e-16
0.28,0.8600818631915772,0.8600818631915772,0.0,0.0,0.0
