t,d,M,H,B,q,H_var,H_ac1
0.5,0.08014166666666667,0.20677666527796892,0.8214622687911496,0.10846568733361177,0.0,,
1.0,0.08028333333333333,0.2137423699265299,0.7987534904684693,0.15939260221075086,0.0,,
1.5,0.080425,0.2208996314826334,0.7800230135132036,0.20450140623038526,0.0,,
2.0,0.08056666666666666,0.22825080937686412,0.7649856462379925,0.24505253335242425,0.0,,
2.5,0.08070833333333334,0.23579809059143345,0.7554226780830239,0.28195689893991754,0.0,,
3.0,0.08085,0.24354347503310783,0.748700951934374,0.31575062082454647,0.0,,
3.5,0.08099166666666667,0.25148876067630527,0.7475306844148308,0.34693237950978073,0.0,,
4.0,0.08113333333333334,0.2596355285378987,0.7514202374375267,0.3756628518772728,0.0,,
4.5,0.081275,0.26798512755161186,0.7531412165556403,0.40202488121786734,0.0,,
5.0,0.08141666666666666,0.2765386594162095,0.7562283739928616,0.42661335679883866,0.0,,
5.5,0.08155833333333333,0.2852969634978925,0.762754867800677,0.44965283979086146,0.0,,
6.0,0.0817,0.29426060187332853,0.7694435279406561,0.47113127172833463,0.0,,
6.5,0.08184166666666667,0.3034298446054853,0.7758343088783188,0.4913130343427652,0.0,,
7.0,0.08198333333333334,0.31280465534979685,0.7802499177316355,0.5104663652439879,0.0,,
7.5,0.082125,0.32238467739307364,0.7868218361035267,0.5289882789105385,0.0,,
8.0,0.08226666666666667,0.33216922023186857,0.794664678777522,0.5468025215228242,0.0,,
8.5,0.08240833333333333,0.3421572468006208,0.7978727421877146,0.5639234652367078,0.0,,
9.0,0.08255,0.35234736146271217,0.8031761637087792,0.5809950532354722,0.0,,
9.5,0.08269166666666666,0.36273779887948043,0.8054184917727082,0.59783743052043,0.0,,
10.0,0.08283333333333333,0.37332641387313903,0.8093302658834551,0.6148726591903264,0.0,,
10.5,0.08297500000000001,0.38411067239935415,0.8121880810719081,0.6319198460622744,0.0,,
11.0,0.08311666666666667,0.3950876437438431,0.8185156339932834,0.6491409600391563,0.0,,
11.5,0.08325833333333334,0.4062539940547013,0.8221910058741352,0.6661250345285814,0.0,,
12.0,0.0834,0.4176059813181763,0.8289247355594419,0.6832694479216096,0.0,,
12.5,0.08354166666666667,0.4291394518802377,0.8346300503491716,0.7001936386587954,0.0,,
13.0,0.08368333333333333,0.4408498386095087,0.8390334236187044,0.7170918310628387,0.0,,
13.5,0.083825,0.45273216078891815,0.838439245674241,0.7341650368085347,0.0,,
14.0,0.08396666666666666,0.46478102581381636,0.8427191381725411,0.752081502714948,0.0,,
14.5,0.08410833333333334,0.4769906327633011,0.8476522486440171,0.7700681771393503,0.0,,
15.0,0.08425,0.4893547778991898,0.8523677729431443,0.7880459446963494,0.0,,
15.5,0.08439166666666667,0.5018668621335308,0.8532661810366212,0.8060675191828723,0.0,,
16.0,0.08453333333333334,0.5145199004908843,0.8567471513681136,0.8246959816055566,0.0,,
16.5,0.084675,0.5273065335759545,0.8589906108326976,0.8434719103977195,0.0,,
