branch,d,M,H,B,q,max_Re_lambda
forward_like,0.1,1.4089994419484075,0.9402761912365807,2.285344982559604,3.2314008438701444e-13,-0.07789785356019485
backward_like,0.1,1.4089989536964826,0.9402761683267596,2.2853440936028067,2.7496637233266225e-12,-0.07789779959690285
forward_like,0.16,1.408999421940521,0.9104149796756601,2.360303253710401,3.7575820576933353e-13,-0.07789785134786979
backward_like,0.16,1.4089989296198073,0.9104149471544349,2.3603023536066243,2.7833571592671717e-12,-0.07789779692250459
forward_like,0.22,1.4089994026381876,0.8838929370983666,2.431126341675562,4.325148541804549e-13,-0.07789784923792895
backward_like,0.22,1.408998903100023,0.8838928966604322,2.4311254231177237,2.820064459922837e-12,-0.07789779399015194
