metabolite,local_sample_id,intensity_norm,log1p_intensity_norm,median_norm_factor,subject_id,time_hr
lactate,SM-A77UY,486033.1902730531,13.094034250764237,0.9995181599163598,,
lactate,SM-A77WI,388568.4539706253,12.87022720751071,1.0727968154396628,,
lactate,SM-A7J1H,1067897.9081914232,13.88120363877071,0.5224263440545999,,
lactate,SM-A7J1L,822149.6104081927,13.619678881595654,0.5309994610144617,,
lactate,SM-A7J1X,796340.9139002112,13.587783912676233,0.5423129622775061,,
lactate,SM-A8MJS,393854.6698642689,12.883739801027009,1.814212334326885,,
lactate,SM-A8XLM,283398.02748417313,12.554611174631464,1.0282181657607814,,
lactate,SM-A9F53,441544.12735347234,12.998035507513835,0.7629996168657017,,
lactate,SM-A9F5B,359380.81763413345,12.792140661161833,0.8263128843518861,,
lactate,SM-A9F5R,573697.3982742294,13.259859098663858,1.1685881825797277,,
lactate,SM-A9F6G,18104898.704957616,16.711693161534257,0.9348762606092484,,
lactate,SM-A9F71,1923463.1782768806,14.469638377802154,1.0128875987869579,,
lactate,SM-A9F75,384982.5,12.860955755208671,0.9739195937477677,,
lactate,SM-A9J97,762337.3293257641,13.544145737869025,1.3845642334391823,,
lactate,SM-A9J9N,481992.8544880892,13.085686642926744,0.6845557914970161,,
lactate,SM-A9VSE,1133943.0699367789,13.941212441010107,1.4688329989025475,,
lactate,SM-AADKW,945759.0227534468,13.759744140116569,0.3947062528816245,,
lactate,SM-AADL1,2450948.9816110292,14.711986254962575,1.2568805075555383,,
lactate,SM-AAHYA,384982.50000000006,12.860955755208671,1.1144246816413732,,
lactate,SM-AAHYE,485364.18398288643,13.09265684325571,0.8609040670679836,,
lactate,SM-ACTNE,451497.8360168532,13.02032807380009,1.497181040696655,,
lactate,SM-ACTNU,486317.5438069322,13.09461912810765,1.2772087042917535,,
lactate,SM-ACTNY,1257760.3044089363,14.044843956115947,0.7373789717714442,,
lactate,SM-ACTOF,653729.8910948101,13.390451064251183,0.7262693758807218,,
lactate,SM-ADDEW,558658.3054104355,13.233295094796278,0.7955166793295799,,
lactate,SM-ADDF5,373081.5644220767,12.829555026469146,1.171084399940257,,
lactate,SM-ADICO,556730.2097387378,13.229837834642103,1.3630749449650308,,
lactate,SM-ADID5,1082284.3977561898,13.894585472328773,1.1361061866448474,,
lactate,SM-ADYKC,1569807.7004137326,14.266464323030323,1.6590299559070867,,
lactate,SM-AE3QV,281050.83520993753,12.546294398243228,0.9654516763749001,,
lactate,SM-AE3RC,477274.716578797,13.075849625057778,1.1770223321839304,,
lactate,SM-AEB6U,475623.87586429995,13.072384746603152,0.6544141616826739,,
lactate,SM-AF6M6,483237.0469639469,13.088264662080649,0.7337268577143117,,
lactate,SM-AF6MI,510010.5394379253,13.14218863079341,1.230100069483678,,
lactate,SM-AF6MY,575630.0923108615,13.263222269754786,0.6872208477008696,,
lactate,SM-AF6NB,1145051.3379737474,13.950960903946546,1.6470021364607481,,
lactate,SM-AFCK9,22798136.256022654,16.942189391289848,0.7415518887222147,,
lactate,SM-AFCKD,701863.4749626257,13.46149560876152,0.946939146584585,,
lactate,SM-AFCKH,703849.4173722148,13.46432113724054,0.5572967602423486,,
lactate,SM-AFJ1N,893458.5569667089,13.702856348949704,0.9582929094179605,,
lactate,SM-AFSHZ,400382.27002878534,12.900177542405372,1.106315222120486,,
lactate,SM-AFSIG,528698.2742988145,13.17817506960829,0.754600533790497,,
lactate,SM-AFSIK,533297.1897516727,13.186836002155166,0.8478930860493659,,
lactate,SM-AFSIO,316790.3572325741,12.665998657087428,1.240817439753755,,
lactate,SM-AG2E3,311346.91278728197,12.648666256527628,0.8886871481171222,,
lactate,SM-AG78Z,551120.9277871983,13.219711348205506,0.8631807939321917,,
lactate,SM-AGULV,490045.19806101057,13.102254947399729,1.0469177170390862,,
lactate,SM-AGUMC,343857.0164578998,12.747984108298816,1.0847532030676719,,
lactate,SM-AGUMK,669501.897289684,13.41429077164647,0.758895534212594,,
lactate,SM-AGUN1,576833.1954066402,13.265310147881184,0.9249797068697928,,
