subject,n_aligned,R2_logspace,p0,lambda_B,alpha_F,alpha_A,k_LB,alpha_obs,beta_obs,lag_F,lag_A,lag_L,within_subject_center
C3032,6,-0.3311684869123268,9.100876999614194,0.6,-0.2706158473439986,-0.13965078647008788,0.0,15.2570800164329,-0.005759280822350218,0,0,1,True
C3037,6,0.07945353072470196,8.880578265500798,0.6,-0.2706158473439986,-0.13965078647008788,0.0,15.2570800164329,-0.005759280822350218,0,0,1,True
H4001,6,-1.3559470503153186,9.037406096650141,0.6,-0.2706158473439986,-0.13965078647008788,0.0,15.2570800164329,-0.005759280822350218,0,0,1,True
H4004,6,-0.09877704380269203,8.772012698608252,0.6,-0.2706158473439986,-0.13965078647008788,0.0,15.2570800164329,-0.005759280822350218,0,0,1,True
