subject,R2_logspace,n_aligned,lag_F,lag_A,lag_L
C3032,-0.3311684869123268,6,0,0,1
C3037,0.07945353072470196,6,0,0,1
H4001,-1.3559470503153186,6,0,0,1
H4004,-0.09877704380269203,6,0,0,1
