d,H,q,seed,stable
0.006,8.133590238055184e-10,0.0003324637623591794,0,False
0.006,2.4642510244394895e-10,0.0003324637548868623,1,False
0.006113924050632912,1.6999318324606032e-09,0.0003324637740444103,0,False
0.006113924050632912,3.231001917076111e-10,0.0003324637558974576,1,False
0.006113924050632912,6.578518975338188e-10,0.0003324637603095603,2,False
0.006227848101265823,1.7374345621549553e-10,0.0003324637539289021,0,False
0.006227848101265823,8.126666263169294e-10,0.0003324637623500541,1,False
0.006227848101265823,1.3626787248781012e-09,0.0003324637695993378,2,False
0.006341772151898734,6.966064225905318e-10,0.00033246376082035346,0,False
0.006341772151898734,6.431748028875639e-10,0.00033246376011611287,1,False
0.006341772151898734,3.0105430609562094e-10,0.00033246375560688714,2,False
0.0064556962025316455,5.291482400937478e-10,0.00033246375861321735,0,False
0.0064556962025316455,7.398114692528469e-10,0.00033246376138980653,1,False
0.0064556962025316455,2.424523248374724e-09,0.00033246378359468883,2,False
0.006569620253164557,2.589385383892205e-11,0.00033246375198021103,0,False
0.006569620253164557,5.053587052849566e-10,0.0003324637582996658,1,False
0.006569620253164557,4.0017565067541315e-10,0.0003324637569133292,2,False
0.0066835443037974685,5.085485473571752e-10,0.000332463758341709,0,False
0.0066835443037974685,3.713296003758456e-10,0.00033246375653313233,1,False
0.0066835443037974685,3.984253568247951e-10,0.00033246375689026023,2,False
0.00679746835443038,7.819589827380447e-10,0.0003324637619453198,0,False
0.00679746835443038,2.0953147846918435e-10,0.0003324637544005963,1,False
0.00679746835443038,7.477160989394475e-10,0.0003324637614939911,2,False
0.006911392405063291,6.92016538810454e-10,0.0003324637607598586,0,False
0.006911392405063291,2.63828214316626e-10,0.00033246375511623936,1,False
0.006911392405063291,9.778337859413333e-10,0.00033246376452699403,2,False
0.007025316455696202,5.224298812003415e-10,0.00033246375852466774,0,False
0.007025316455696202,1.9016456326687743e-09,0.000332463776703044,1,False
0.007025316455696202,3.577944667845406e-10,0.000332463756354736,2,False
0.007139240506329114,1.7803399271397337e-09,0.0003324637751042072,0,False
0.007139240506329114,8.239575794408328e-10,0.0003324637624988705,1,False
0.007139240506329114,5.242147790800911e-10,0.0003324637585481937,2,False
0.007253164556962025,1.299587785711262e-10,0.00033246375335181,0,False
0.007253164556962025,8.238191134079338e-10,0.0003324637624970462,1,False
0.007253164556962025,4.803404288265071e-10,0.0003324637579699195,2,False
0.007367088607594937,4.826138385797449e-12,0.0003324637517025332,0,False
0.007367088607594937,7.152200018572518e-10,0.00033246376106568505,1,False
0.007367088607594937,4.862938989927192e-10,0.0003324637580483875,2,False
0.007481012658227848,4.136100418184387e-10,0.00033246375709039766,0,False
0.007481012658227848,4.893081646987648e-10,0.00033246375808811633,1,False
0.007481012658227848,1.420898223286101e-09,0.0003324637703666839,2,False
0.00759493670886076,2.8018936794343004e-10,0.00033246375533188327,0,False
0.00759493670886076,8.462607316786582e-10,0.0003324637627928316,1,False
0.00759493670886076,1.8678162547071044e-10,0.00033246375410074823,2,False
0.007708860759493671,9.550949077643397e-10,0.00033246376422729046,0,False
0.007708860759493671,7.519930739885975e-10,0.00033246376155036283,1,False
0.007708860759493671,4.1732897577697016e-10,0.0003324637571394144,2,False
0.007822784810126583,2.7427558756717596e-11,0.0003324637520004255,0,False
0.007822784810126583,1.1097760283923343e-09,0.00033246376626602315,1,False
0.007822784810126583,6.001812189565604e-10,0.0003324637595494481,2,False
0.007936708860759494,1.6983003359065088e-10,0.000332463753877322,0,False
0.007936708860759494,0.0,0.0003324637358384119,1,False
0.007936708860759494,2.0733487957880723e-10,0.0003324637543716447,2,False
0.008050632911392405,3.7491745743465305e-11,0.0003324637521330734,0,False
0.008050632911392405,0.0,0.00033246375045333724,1,False
0.008050632911392405,5.397991062290059e-10,0.000332463758753598,2,False
0.008164556962025317,2.460572759678203e-10,0.00033246375488201466,0,False
0.008164556962025317,6.814134511311018e-10,0.00033246376062010734,1,False
0.008164556962025317,2.4254373983769955e-10,0.0003324637548357054,2,False
0.008278481012658228,5.299052531037638e-10,0.00033246375862319537,0,False
0.008278481012658228,6.394620783353949e-10,0.0003324637600671787,1,False
0.008278481012658228,4.769326809376204e-10,0.0003324637579250043,2,False
0.008392405063291138,3.3533174783927924e-10,0.0003324637560586721,0,False
0.008392405063291138,1.9253544049165992e-10,0.00033246375417658454,1,False
0.008392405063291138,3.5557857945366407e-10,0.00033246375632553006,2,False
0.00850632911392405,8.01489053066753e-12,0.0003324637517445622,0,False
0.00850632911392405,6.277919366192265e-10,0.0003324637599133636,1,False
0.00850632911392405,8.028482317462958e-10,0.00033246376222064507,2,False
0.008620253164556961,8.493591557554146e-11,0.0003324637527583987,0,False
0.008620253164556961,2.436791426522639e-10,0.00033246375485066973,1,False
0.008620253164556961,1.247103530830918e-10,0.00033246375328263426,2,False
0.008734177215189874,7.250361803638269e-10,0.0003324637611950645,0,False
0.008734177215189874,1.7297150991570395e-09,0.0003324637744369601,1,False
0.008734177215189874,5.777066293590096e-10,0.00033246375925322774,2,False
0.008848101265822785,3.714898755003485e-10,0.0003324637565352446,0,False
0.008848101265822785,0.0,0.00033246374138979647,1,False
0.008848101265822785,3.1389017446932036e-10,0.00033246375577606756,2,False
0.008962025316455697,4.5959116957870435e-10,0.0003324637576964395,0,False
0.008962025316455697,3.228183969723077e-11,0.00033246375206440594,1,False
0.009075949367088608,2.296170536280152e-10,0.0003324637546653289,0,False
0.009075949367088608,2.5024583246053447e-10,0.0003324637549372213,1,False
0.009075949367088608,5.058447158376411e-10,0.0003324637583060714,2,False
0.009189873417721518,9.659554358543881e-10,0.00033246376437043475,0,False
0.009189873417721518,1.094008208467317e-09,0.0003324637660581995,1,False
0.009189873417721518,2.158440513962136e-11,0.0003324637519234113,2,False
0.00930379746835443,1.0423237282051182e-09,0.0003324637653769858,0,False
0.00930379746835443,5.326472366903038e-10,0.00033246375865933524,1,False
0.00930379746835443,1.2407478583867453e-10,0.0003324637532742573,2,False
0.009417721518987341,2.4455172194289827e-10,0.0003324637548621709,0,False
0.009417721518987341,1.0630833343810171e-09,0.00033246376565060256,1,False
0.009417721518987341,5.450122012536606e-10,0.000332463758822308,2,False
0.009531645569620252,4.841271758401779e-11,0.0003324637522770146,0,False
0.009531645569620252,4.963891048168445e-10,0.00033246375818144435,1,False
0.009531645569620252,2.6504372959798874e-10,0.00033246375513225996,2,False
0.009645569620253164,1.7620973674809484e-09,0.00033246377486376567,0,False
0.009645569620253164,1.4147133088407416e-09,0.0003324637702851655,1,False
