subject_id,n_obs_B,RMSE_B,NRMSE_B,R2_B,n_obs_H,RMSE_H,NRMSE_H,R2_H,r_M,gamma,sigma_F,sigma_A,p_max,s_B,a_B
C3001,6.0,1.276765757510345,3.7378949720834136,-12.971858822326462,6.0,0.8829445622949108,0.8829445622949108,0.2204088999138486,0.2689015442049019,0.18485021591429285,0.0007983413368265174,0.045069805161515056,0.43209401845959927,0.2756728476457175,4.999999734601393
C3002,6.0,1.3117144360880397,10.184219604654764,-102.71832895583442,6.0,1.1647081987135786,1.1647081987135786,-0.35654518815062874,0.4317628712050905,0.4299887175440893,0.5983291600534397,0.131001474702218,1.8555983476518585,0.18615553278729177,4.999999848718338
C3003,5.0,1.5570346773600843,3.1395808425900893,-8.856967867158696,5.0,1.0302281817057337,1.0302281817057337,-0.06137010638070217,1.2629606366889035,0.11279868856797898,0.09469888576917473,1.1310546547484956,4.794347196355074,0.24915345227106678,4.999999999931461
C3004,5.0,1.424114820207503,7.709714976297615,-58.439705015747734,4.0,0.9426617395288669,0.9426617395288669,0.1113888448284106,0.38391795507064574,0.33851081628406376,0.02075262240708535,1.492500000000092,3.229517864954507,0.2845680672428252,4.999999999999999
C3005,5.0,1.1374654318673307,6.874839666803027,-46.263420444248354,1.0,12.315148462450402,,,0.05000030067392967,0.1720251274455752,1.499999587667552,1.4863130858077804,4.999996347557308,0.3567631820266344,4.999995200261155
C3006,5.0,1.5140859441320391,2.9786131370403948,-7.872136220149619,4.0,1.208713368678133,1.2087133686781328,-0.4609880076212396,0.20157772624335188,0.24287079262307606,0.12362905369212653,1.4658718931502148,4.999822057110912,0.31847075416919524,4.999999999999999
C3008,4.0,1.4210019441740618,18.39234670800167,-337.27841742733995,3.0,2.1364234392931265,,,1.8289837896808445,0.07640245598230534,1.6433099250687083e-06,1.1249088476400562,0.30000000000000004,0.27647445552591843,4.999999999999999
C3009,6.0,1.2203801425746685,5.890014123432295,-33.69226637423192,4.0,1.5480708881281688,1.548070888128169,-1.3965234746699382,0.36727690093675097,0.3100525279156866,3.618493118671312e-08,0.007499999999971188,0.3043449602071639,0.30468024596498455,4.999999999999999
C3010,6.0,1.6125360758171503,7.5280650267776315,-55.6717630473925,5.0,0.9470360542877552,0.9470360542877552,0.10312271187908006,0.3578051072847239,0.39871931588513876,0.0681058310009638,0.12867605469783971,4.767202162081329,0.3299126251623737,4.999998007985592
C3011,5.0,2.1672748999930866,11.534706480799711,-132.0494535982029,5.0,1.9160753609179055,1.9160753609179055,-2.6713447887166817,0.4458792899793463,0.4237037948060052,0.10843695860072285,1.974750757161107e-06,0.3029308720280133,0.32209027345598906,4.999999999999999
C3012,6.0,0.7946437025754584,2.207788780707951,-3.874331300219901,2.0,8.666994660724054,,,0.05000000000000001,2.922755628707797e-19,1.4999999999999998,4.807919623909728e-18,4.964574963241761,0.39935407281069685,4.999999999999999
C3013,5.0,1.4387750594884268,4.791611820626378,-21.95954383956644,5.0,1.0423802191603184,1.0423802191603184,-0.08655652129671343,1.3067194602500507,0.34647119510897006,0.05371449343365394,0.7585854701016452,0.3510158289950711,0.23025878200051328,4.999984746553466
C3015,5.0,0.9950942604888092,2.501181552710522,-5.255909159619419,2.0,7.943656415515071,7.943656415515071,-62.10167724775374,0.05000000000000008,1.0630535603593766e-16,1.4999999999999998,1.497546393991172,0.30000000000000004,0.26129043172978855,4.999999999999998
C3016,7.0,1.7421491737460222,6.591666223527713,-42.45006360239609,6.0,0.7292918599864642,0.7292918599864642,0.4681333829574835,1.797994717151077,1.0113952654568579,4.3400332123524315e-08,0.7126911508163096,0.3000000000000117,0.24554810131836502,4.999999999999999
C3017,6.0,1.4457782682646245,1.8512392514380065,-2.4270867660647504,6.0,0.9207676875963078,0.9207676875963078,0.15218686547854832,1.2503431023725664,0.12263813008698154,0.2450443623953282,1.0715704997870839,4.613546116916204,0.29337072203119846,4.999999999999999
C3021,4.0,1.4614811142067463,10.385653840662654,-106.86180569807091,3.0,1.7638391043563777,1.7638391043563777,-2.1111283860567087,0.05000784788280057,0.060949033112663115,1.4987518770882262,0.7368878988753668,2.4836737195140115,0.2756621739246546,4.999999999999999
C3022,6.0,1.6498983296139276,6.348833503858068,-39.307686859710714,0.0,,,,0.050000000037143943,0.6105114983594024,1.4999999995179267,1.0291987885625216,0.3000002573849413,0.34018442335372606,4.999999994418335
C3023,7.0,1.657542679044489,12.411300092210787,-153.04036997891149,6.0,1.475770394650361,1.475770394650361,-1.1778982577264823,0.384855415388742,0.3483389471541313,0.03684683249327387,2.2081193145952432e-05,0.3368193676323009,0.24562886769970527,4.999999999999999
C3027,6.0,1.4543992092276243,8.391450757176354,-69.41644581011565,6.0,2.012310345907576,2.012310345907576,-3.049392928246667,0.15172992836797997,1.5577783440693773,0.009082840093619713,0.06678754743315643,4.159943638296652,0.2577452896808723,4.999999826807479
C3028,5.0,1.4836373593113494,4.906580570792165,-23.07453289767517,5.0,2.6528461431824306,2.6528461431824306,-6.037592659397897,0.8455363121573934,0.9915667046565554,0.18688906929989388,0.9570209807905574,2.489543996663009,0.3047438995581393,4.999999186572438
C3031,4.0,1.3730942877219496,10.860025086749836,-116.9401448848358,3.0,1.1904757160720838,1.1904757160720838,-0.41723243055734005,1.3895235963069492,0.25204380550011624,0.13124315985063964,1.0534317955066301,4.47313672657012,0.28906243040713386,4.9999999999998055
C3032,8.0,1.5063243029534337,13.268405062035464,-175.05057289024833,4.0,4.213348387236399,,,0.6080121471050454,0.6906084322055379,0.10957760966916442,0.0026582750328738194,0.5192979575204885,0.2828326539583491,4.999999999941468
C3034,5.0,1.2596563571509307,3.509082571366542,-11.313660492668424,5.0,1.1890776136241386,1.1890776136241383,-0.4139055712220756,1.402770636790892,0.2251791180402467,0.22056839490828145,1.1076644225817898,1.6556312267858524,0.3062639315844977,4.999999999999999
C3035,5.0,1.5650010062194037,10.881385087571925,-117.40454142403267,4.0,1.4882410969290378,1.488241096929038,-1.2148615625885464,0.5725154166545234,0.5715542698942382,0.06738002642783236,0.007219695608579995,1.1441180836561284,0.28009500865240144,4.9999999999898215
C3037,8.0,1.4450934199823418,6.160630189399462,-36.95336433054005,3.0,0.9212143553438398,0.92121435534384,0.15136411150843343,0.5759121421318357,0.5861476850669125,0.055407823763372534,1.0678457344470542,4.996819667796748,0.230587710909141,4.99999999963433
E5001,5.0,1.6280581070548297,10.224926843423553,-103.54912895336358,4.0,1.3202116368028045,1.3202116368028047,-0.7429587659495402,0.510352411896033,0.5055751129329003,0.05707513471737365,1.4925,0.3091605716959814,0.25806204593406973,4.999974511295916
