subject,R2_logspace,n_aligned,lag_F,lag_A,lag_L
C3032,-1.1391739427425551,6,1,0,1
C3037,0.26555582783250165,6,1,0,1
H4001,-0.8456257303676926,6,1,0,1
H4004,0.10310307510807803,6,1,0,1
