d,M,H,B,q
0.26654552069050147,0.003094812455149354,0.15008392098094164,0.056198033698131186,1.0
0.26293134413876584,8.581577810822427e-05,0.029880084889222513,0.009672300437652841,1.0
0.2593171675870302,2.3719169711635468e-06,0.007565863231067144,0.002379809302877779,1.0
0.25570299103529465,6.55530718133161e-08,0.003110966098346855,0.0009692763815174283,1.0
0.252088814483559,1.8116968987867203e-09,0.0018441436214747047,0.000568517388772895,1.0
0.24847463793182342,5.007004764917019e-11,0.0013090167130065068,0.0003984823232046966,1.0
0.2448604613800878,1.38379089159127e-12,0.0010180379790255534,0.00030570077517592535,1.0
0.2412462848283522,3.8243966631874274e-14,0.0008353731897001252,0.0002473002884821659,1.0
0.23763210827661657,1.0569523131171305e-15,0.0007100776745445073,0.0002071466508276725,1.0
0.23401793172488097,2.9211096300678345e-17,0.000618832093160615,0.00017783669522862785,1.0
0.23040375517314535,8.0730997652203485e-19,0.0005494532317400468,0.00015549607918437065,1.0
0.22678957862140975,2.2311706191488385e-20,0.0004949543596751556,0.0001379001895466883,1.0
0.22317540206967412,6.166308452174986e-22,0.00045104121407884895,0.00012368036134812707,1.0
0.2195612255179385,1.7041888056893673e-23,0.00041492884845065794,0.00011194825031264545,1.0
0.2159470489662029,4.709883568040711e-25,0.00038473206981485685,0.0001021020824831944,1.0
0.21233287241446727,1.3016752105425665e-26,0.0003591292637305701,9.37197004479693e-05,1.0
0.20871869586273167,3.597452737979001e-28,0.00033716649266559963,8.649618927572655e-05,1.0
0.20510451931099605,9.942315945771316e-30,0.0003181380157720589,8.020580979800592e-05,1.0
0.20149034275926045,2.747767755833566e-31,0.0003015105700798073,7.467786074804466e-05,1.0
0.19787616620752482,7.594033101724044e-33,0.0002868737883854654,6.978086485929133e-05,1.0
0.19426198965578922,2.098770488431836e-34,0.0002739068008049732,6.541191168280363e-05,1.0
0.1906478131040536,5.800392892825793e-36,0.0002623551755357882,6.148929626466449e-05,1.0
0.187033636552318,1.6030603582711245e-37,0.00025201464846797756,5.794732269694319e-05,1.0
0.18341946000058237,4.4303938711441427e-39,0.00024271941966728583,5.473256440346986e-05,1.0
0.17980528344884678,1.2244323647701251e-40,0.00023433358895952127,5.180112594595913e-05,1.0
0.17619110689711115,3.3839759161399e-42,0.0002267447913555812,4.911660676935944e-05,1.0
0.17257693034537552,9.352327928023009e-44,0.0002198594012572006,4.66485655278661e-05,1.0
0.16896275379363992,2.5847121800160926e-45,0.00021359887331688686,4.437134705046015e-05,1.0
0.1653485772419043,7.143394783565706e-47,0.00020789691891073104,4.2263175802152666e-05,1.0
0.1617344006901687,1.974227127817228e-48,0.0002026973051998652,4.03054477653913e-05,1.0
0.15812022413843307,5.456191167225322e-50,0.0001979521238817002,3.8482171839660335e-05,1.0
0.15450604758669748,1.5079329847028474e-51,0.00019362041846124667,3.6779525161620375e-05,1.0
0.15089187103496185,4.1674894017893764e-53,0.0001896670882642811,3.518549611382163e-05,1.0
0.14727769448322625,1.1517731948445521e-54,0.00018606200840400343,3.368959547137826e-05,1.0
0.14366351793149063,3.1831670448707965e-56,0.00018277932010153856,3.228262096143451e-05,1.0
0.14004934137975503,8.797350451378594e-58,0.00017979685689346,3.09564640353783e-05,1.0
0.1364351648280194,2.4313325022976417e-59,0.00017709568052559128,2.9703950256499637e-05,1.0
0.13282098827628377,6.71949784131036e-61,0.00017465970655386638,2.8518706646623893e-05,1.0
0.12920681172454818,1.8570743078828424e-62,0.00017247540442722338,2.7395050795941544e-05,1.0
0.12559263517281255,5.132414752478014e-64,0.00017053156052637613,2.6327897649085292e-05,1.0
0.12197845862107695,1.4184505746291222e-65,0.00016881909557591514,2.5312680728995583e-05,1.0
0.11836428206934133,3.9201859742419646e-67,0.00016733093025987218,2.4345285214204598e-05,1.0
0.11475010551760573,1.0834257003746216e-68,0.00016606189492667474,2.3421990792809604e-05,1.0
0.1111359289658701,2.9942743939825826e-70,0.00016500868111076194,2.2539422612764254e-05,1.0
0.1075217524141345,8.275305951630704e-72,0.0001641698343503885,2.1694508959169785e-05,1.0
0.10390757586239888,2.2870545441899462e-73,0.00016354578956543156,2.088444453430996e-05,1.0
0.10029339931066328,6.320755412153846e-75,0.00016313895220471632,2.010665840965744e-05,1.0
0.09667922275892765,1.7468734657757246e-76,0.0001629538306316382,1.935878587175871e-05,1.0
0.09306504620719204,4.827851588061141e-78,0.00016299722798290882,1.8638643503786082e-05,1.0
0.08945086965545643,1.3342781496766378e-79,0.00016327850526824748,1.7944206937489466e-05,1.0
0.08583669310372082,3.6875578054367614e-81,0.0001638099321437591,1.7273590780412657e-05,1.0
0.0822225165519852,1.0191340217729747e-82,0.00016460714811654257,1.6625030273183605e-05,1.0
0.07860834000024959,2.8165908417865198e-84,0.00016568976570510458,1.5996864262669194e-05,1.0
0.07499416344851398,7.784240149528545e-86,0.00016708215947336522,1.538751908855285e-05,1.0
0.07137998689677837,2.1513381995909023e-87,0.0001688145027025678,1.4795492971438969e-05,1.0
0.06776581034504275,5.945674799484872e-89,0.00017092413964134404,1.4219340455605535e-05,1.0
0.06415163379330714,1.6432120634473858e-90,0.00017345742039950553,1.3657656391388928e-05,1.0
0.06053745724157152,4.5413615384631426e-92,0.0001764721852090179,1.3109058828231746e-05,1.0
0.05692328068983591,1.2551006094590204e-93,0.0001800411777028958,1.2572170008961005e-05,1.0
0.0533091041381003,3.46873404929901e-95,0.0001842568149928378,1.2045594374970748e-05,1.0
