t_hr,M,H,Acetate_model,Butyrate_model,q,U
0.0,0.2,0.6,47.50017543,13.92060823,0.0,0.0
14.23728813559322,0.9128327599363928,0.9935356621445117,44.3017612727885,9.764974067171977,0.0,0.0
28.47457627118644,0.9825649537386841,0.9928415688320265,43.52544457890785,6.953033727965826,0.0,0.0
42.71186440677966,0.9840618058385195,0.9922260951033167,42.89241653594739,4.917810524478449,0.0,0.0
56.94915254237288,0.9840916574359427,0.9917292914139186,42.284449181671036,3.574878121954355,0.0,0.0
71.1864406779661,0.9840922518586854,0.9913595368652287,41.69796044175148,2.7739143291063404,0.0,0.0
85.42372881355932,0.9840922636948253,0.9910944236274544,41.13181038400477,2.333480395874319,0.0,0.0
99.66101694915254,0.9840922639305062,0.990900024583892,40.5851381215032,2.104171908191701,0.0,0.0
113.89830508474576,0.9840922639351991,0.9907450666608357,40.05731498162653,1.9885929216015585,0.0,0.0
128.135593220339,0.9840922639352925,0.9906149235610275,39.54787015095337,1.9313917839441166,0.0,0.0
142.3728813559322,0.9840922639352938,0.9904948874775226,39.05641885634978,1.903393961257438,0.0,0.0
156.61016949152543,0.9840922639352938,0.9903843062108595,38.58261601186294,1.8898139329280055,0.0,0.0
170.84745762711864,0.9840922639352938,0.9911749126973952,39.137717082211346,3.664926026587947,0.0,1.0
185.08474576271186,0.9840922639352938,0.9936370334964235,43.642730682484874,10.706141883678097,0.0,1.0
199.32203389830508,0.9840922639352938,0.9948501838450674,48.005377534886215,16.367003755073434,0.0,1.0
213.5593220338983,0.9840922639352938,0.9956131144165216,52.25306064988594,21.37724578271432,0.0,1.0
227.79661016949152,0.9840922639352938,0.9961467308656264,56.40466093726817,25.989398724531764,0.0,1.0
242.03389830508473,0.9840922639352938,0.9965482284132476,60.47426141796045,30.326548935465684,0.0,1.0
256.271186440678,0.9840922639352938,0.9968630341146036,64.47279719219142,34.459578496356194,0.0,1.0
270.50847457627117,0.9840922639352938,0.9971155264989724,68.40899111087145,38.43367489456551,0.0,1.0
284.7457627118644,0.9840922639352938,0.9973277451560486,72.2899445375399,42.27970751359349,0.0,1.0
