,value,subject_id
r_max,0.2852630192761129,2
K_M,0.9123432860353996,2
c,0.07102426281500371,2
d,0.12890578470331868,2
g_A,0.17712225764629724,2
g_B,0.46887029052927115,2
u_A,0.7791487964693831,2
K_A,9.782031101112677,2
u_B,0.6345550490171527,2
K_B,7.833289226100766,2
pA_low,0.39267922228385854,2
pA_high,2.944580174913446,2
pB_low,0.09651585761481467,2
pB_high,2.667629506512728,2
H_on,0.6261762953038046,2
H_off,0.7998270015220382,2
tau_q,5.220566005021793,2
alpha_A,0.4040596489459061,2
alpha_B,0.5363256106576896,2
