metabolite,n_rows,n_subjects,loss_base,loss_plus,delta_loss,gamma
glycocholate,64,10,8.364852014545392,7.737968436481392,0.6268835780639996,-0.04759216362227647
lactate,64,10,8.364852014545392,7.879352902739034,0.48549911180635785,-0.04670080656232045
imidazolelactate,57,9,8.0919767562125,7.95773778619117,0.13423897002132978,0.004809646117678312
lithocholate,64,10,8.364852014545392,8.34842085466695,0.016431159878441903,0.022654545076314037
succinate,64,10,8.364852014545392,8.353009137092409,0.011842877452982847,-0.010990367941907664
indole-3-propionate,64,10,8.364852014545392,8.368860378166744,-0.004008363621352373,0.061034170213481787
cholate,64,10,8.364852014545392,8.370300036359087,-0.005448021813695192,0.006907016499262397
propionate_y,64,10,8.364852014545392,8.40339736855114,-0.03854535400574832,0.032553897718266
