d,H,stable
0.04200000000002744,0.7037482090665718,False
0.04200000000002744,0.2000403694009815,True
0.04200000000002744,0.10294651440744845,False
0.042388489208660785,0.7031620138707916,False
0.042388489208660785,0.19966250104442712,True
0.042388489208660785,0.1027518285537297,False
0.04277697841729414,0.7025707854480344,False
0.04277697841729414,0.1992888544989378,True
0.04277697841729414,0.10255930854559415,False
0.04316546762592748,0.7019741745655287,False
0.04316546762592748,0.19891934499175226,True
0.04316546762592748,0.10236891102614742,False
0.04355395683456083,0.7013718062298622,False
0.04355395683456083,0.19855389019320455,True
0.04355395683456083,0.10218059389377082,False
0.043942446043194174,1.037401907717461e-15,True
0.043942446043194174,0.7007632783686953,False
0.043942446043194174,0.19819241012533306,True
0.043942446043194174,0.10199431622228727,False
0.044330935251827526,5.381949369611951e-16,True
0.044330935251827526,0.7001481521606179,False
0.044330935251827526,0.19783482707467884,True
0.044330935251827526,0.10181003826648666,False
0.04471942446046087,0.6995259581018615,False
0.04471942446046087,0.19748106550904107,True
0.04471942446046087,0.10162772138625077,False
0.04510791366909422,0.6988961818552012,False
0.04510791366909422,0.19713105199799486,True
0.04510791366909422,0.10144732801445265,False
0.04549640287772756,0.6982582630240117,False
0.04549640287772756,0.19678471513694976,True
0.04549640287772756,0.10126882161824209,False
0.045884892086360915,0.6976115875304997,False
0.045884892086360915,0.1964419854745748,True
0.045884892086360915,0.10109216666205253,False
0.04627338129499426,0.6969554791276515,False
0.04627338129499426,0.19610279544341522,True
0.04627338129499426,0.10091732857222416,False
0.046661870503627606,1.6303725952049214e-08,True
0.046661870503627606,0.6962891928947844,False
0.046661870503627606,0.19576707929352627,True
0.046661870503627606,0.10074427370317283,False
0.04705035971226096,0.6956118976426406,False
0.04705035971226096,0.19543477302897647,True
0.04705035971226096,0.10057296930501093,False
0.047438848920894304,0.0,False
0.047438848920894304,0.6949226683505508,False
0.047438848920894304,0.1951058143470718,True
0.047438848920894304,0.10040338349256114,False
0.04782733812952765,0.0,False
0.04782733812952765,0.6942204656979549,False
0.04782733812952765,0.19478014258016013,True
0.04782733812952765,0.1002354852156821,False
0.048215827338160995,0.6935041160342554,False
0.048215827338160995,0.19445769863989437,True
0.048215827338160995,0.10006924423084362,False
0.04860431654679435,0.6927722848912896,False
0.04860431654679435,0.19413842496381967,True
0.04860431654679435,0.09990463107388957,False
0.04899280575542769,0.6920234434088969,False
0.04899280575542769,0.193822265464179,True
0.04899280575542769,0.09974161703392874,False
0.04938129496406104,0.6912558263427734,False
0.04938129496406104,0.19350916547882785,True
0.04938129496406104,0.099580174128301,False
0.049769784172694384,0.6904673759685211,False
0.049769784172694384,0.19319907172415346,True
0.049769784172694384,0.09942027507856353,False
0.050158273381327736,0.0,False
0.050158273381327736,0.6896556692035852,False
0.050158273381327736,0.19289193224989765,True
0.050158273381327736,0.09926189328744688,False
0.05054676258996108,0.6888178188498989,False
0.05054676258996108,0.19258769639579992,True
0.05054676258996108,0.0991050028167394,False
0.05093525179859443,0.6879503379704972,False
0.05093525179859443,0.1922863147499691,True
0.05093525179859443,0.09894957836605094,False
0.05132374100722778,0.6870489488123853,False
0.05132374100722778,0.19198773910890252,True
0.05132374100722778,0.09879559525242103,False
0.051712230215861126,0.6861083054726949,False
0.051712230215861126,0.19169192243908034,True
0.051712230215861126,0.09864302939071849,False
0.05210071942449447,0.68512157815939,False
0.05210071942449447,0.19139881884005563,True
0.05210071942449447,0.0984918572748156,False
0.052489208633127823,0.6840798029271035,False
0.052489208633127823,0.1911083835089653,True
0.052489208633127823,0.09834205595948224,False
0.05287769784176117,4.1520878065928045e-11,True
0.05287769784176117,0.6829708131614964,False
0.05287769784176117,0.1908205727064241,True
0.05287769784176117,0.0981936030429771,False
0.053266187050394515,0.0,False
0.053266187050394515,0.6817773633172368,False
0.053266187050394515,0.19053534372370487,True
0.053266187050394515,0.09804647665030689,False
0.05365467625902786,0.680473558054249,False
0.05365467625902786,0.1902526548511598,True
0.05365467625902786,0.09790065541710931,False
0.054043165467661206,0.6790172051127608,False
0.054043165467661206,0.18997246534784218,True
0.054043165467661206,0.09775611847415389,False
0.05443165467629456,0.677330402483396,False
0.05443165467629456,0.1896947354122537,True
0.05443165467629456,0.09761284543240882,False
0.054820143884927904,0.6752336519027926,False
0.054820143884927904,0.18941942615417603,True
