time,H_anti_inflammatory,H_probiotic_dose,H_postbiotic_dose
0.0,0.0956870741129646,0.0956870741129646,0.0956870741129646
0.5025125628140703,0.09568707411291098,0.09568707411286309,0.09568707411286309
1.0050251256281406,0.09568707411275294,0.0956870741127351,0.0956870741127351
1.507537688442211,0.09568707411246193,0.0956870741125212,0.0956870741125212
2.0100502512562812,0.09568707411198185,0.0956870741122843,0.0956870741122843
2.5125628140703515,0.09568707411137485,0.09568707411204741,0.09568707411204741
3.015075376884422,0.0956870741106992,0.09568707411181053,0.09568707411181053
3.517587939698492,0.09568707411000534,0.09568707411157364,0.09568707411157364
4.0201005025125625,0.09568707410933604,0.09568707411133674,0.09568707411133674
4.522613065326633,0.09568707410872627,0.09568707411109986,0.09568707411109986
5.025125628140703,0.09568707410820329,0.09568707411086297,0.09568707411086297
5.527638190954773,0.09568707410778655,0.09568707411062607,0.09568707411062607
6.030150753768844,0.09568707410748782,0.0956870741103892,0.0956870741103892
6.532663316582914,0.09568707410731105,0.0956870741101523,0.0956870741101523
7.035175879396984,0.09568707410725248,0.09568707410991541,0.09568707410991541
7.537688442211055,0.09568707410730058,0.09568707410967853,0.09568707410967853
8.040201005025125,0.0956870741074361,0.09568707410944163,0.09568707410944163
8.542713567839195,0.095687074107632,0.09568707410920474,0.09568707410920474
9.045226130653266,0.0956870741078535,0.09568707410896786,0.09568707410896786
9.547738693467336,0.09568707410805807,0.09568707410873097,0.09568707410873097
10.050251256281406,0.09568707410819546,0.09568707410849409,0.09568707410849409
10.552763819095476,0.09568707410820762,0.09568707410825719,0.09568707410825719
11.055276381909547,0.09568707410802876,0.0956870741080203,0.0956870741080203
11.557788944723617,0.09568707410770579,0.09568707410782948,0.09568707410782948
12.060301507537687,0.09568707410739181,0.09568707410764442,0.09568707410764442
12.562814070351758,0.09568707410709178,0.09568707410745934,0.09568707410745934
13.065326633165828,0.09568707410680821,0.09568707410727428,0.09568707410727428
13.567839195979898,0.095687074106543,0.09568707410708922,0.09568707410708922
14.070351758793969,0.0956870741062973,0.09568707410690415,0.09568707410690415
14.572864321608039,0.09568707410607163,0.09568707410671909,0.09568707410671909
15.07537688442211,0.09568707410586583,0.09568707410653403,0.09568707410653403
15.57788944723618,0.09568707410567905,0.09568707410634895,0.09568707410634895
16.08040201005025,0.09568707410550975,0.0956870741061639,0.0956870741061639
16.58291457286432,0.09568707410535576,0.09568707410597882,0.09568707410597882
17.08542713567839,0.09568707410521418,0.09568707410579376,0.09568707410579376
17.587939698492463,0.09568707410508148,0.0956870741056087,0.0956870741056087
18.09045226130653,0.09566360657144167,0.09568707410542363,0.09568707410542363
18.5929648241206,0.09546166660782457,0.09568707410523856,0.09568707410523856
19.09547738693467,0.09518958799112001,0.0956870741050535,0.0956870741050535
19.597989949748744,0.09498952824362389,0.09568707410486843,0.09568707410486843
20.100502512562812,0.0949730434731949,0.09612293810623737,0.15806452546873184
20.60301507537688,0.0952210883732546,0.10737698155064265,0.40542652677838054
21.105527638190953,0.09578401622278734,0.13568020996986654,0.5635245664940399
21.608040201005025,0.09668157888634034,0.1680567114554969,0.6533605037022697
22.110552763819094,0.09790292681402363,0.20211006532566073,0.669806677413591
22.613065326633162,0.0994066090415101,0.22859955066465998,0.6672950889671735
23.115577889447234,0.10112057319003544,0.24120027933871535,0.6507317227364919
23.618090452261306,0.10294216546639824,0.25380100801277067,0.6331935890950519
24.120603015075375,0.10473813066295985,0.26165525415300867,0.6158042010034854
24.623115577889443,0.10634461215764449,0.259745595597748,0.5988307601774752
25.125628140703515,0.10771443519068533,0.25783593704248736,0.5821822805539838
25.628140703517587,0.10897193298033664,0.2559262784872267,0.5658719449765943
26.130653266331656,0.11012195030731477,0.252652777867176,0.5496346004090654
26.633165829145725,0.11116909034013364,0.24787532211564384,0.534370610790279
27.135678391959797,0.11211876904415494,0.24309786636411165,0.5191066211714925
27.63819095477387,0.11297721518158799,0.23832041061257947,0.503842631552706
28.140703517587937,0.11375147031148991,0.23369926964128543,0.48958775826058215
28.643216080402006,0.11444938878976549,0.22923839367962098,0.47570069868248177
29.145728643216078,0.11507963776916727,0.2247775177179565,0.4618136391043813
29.64824120603015,0.11565169719929548,0.22031664175629204,0.4479265795262808
30.15075376884422,0.11554225766436653,0.2158557657946276,0.43522297880767696
30.653266331658287,0.11392990561017564,0.21219608315003546,0.42277655874811676
31.15577889447236,0.11189741262848671,0.2089546394397504,0.4103301386885565
31.65829145728643,0.11007558079570616,0.20571319572946536,0.39788371862899624
32.1608040201005,0.10854618373467184,0.20247175201918033,0.38658747456436793
32.66331658291457,0.10702345419584713,0.1992303083088953,0.37544944819121173
33.16582914572864,0.10556956059188465,0.19598886459861026,0.36431142181805554
33.66834170854271,0.10420121304855803,0.19320017070823112,0.3533061766542104
34.17085427135678,0.1029228553939226,0.1917744817656753,0.3433709680049539
34.67336683417085,0.10173881865579766,0.19034879282311945,0.33343575935569747
35.175879396984925,0.10066822920938964,0.1889231038805636,0.3235005507064409
35.678391959798994,0.09970555486319957,0.18749741493800778,0.31365410108774744
36.18090452261306,0.09883600061333175,0.18607172599545196,0.3049114631955307
36.68341708542713,0.09804773065078495,0.18464603705289612,0.29616882530331395
37.1859296482412,0.09733186836145222,0.1832203481103403,0.28742618741109727
37.688442211055275,0.09668249632612097,0.18179465916778445,0.2786835495188804
38.19095477386934,0.09609665632047304,0.1803689702252286,0.2705029707107331
38.69346733668341,0.09557434931508453,0.1796436066699338,0.2629601932799307
39.19597989949749,0.09511853547542592,0.17960301178707308,0.2554174158491282
