subject_id,success,cost,RMSE,NRMSE,r_max,K_M,c,d,g,u,p_low,p_high,H_on,H_off,tau_q,alpha,p_gap,H_band
2,True,2.1267417369963164,0.8419702562039264,0.07686759913844456,0.5862424281658274,1.9999999999999998,0.031210107098737876,0.19999999999999998,0.10000000000000006,0.5000000000000001,0.7999999999999999,3.2189467702953816,0.5313748742700573,0.6955357801892417,3.4600529811334306,0.5806409007483201,2.4189467702953817,0.16416090591918442
13,True,2.480943381797676,0.9093850269637674,0.1600651412844775,0.31867071361193905,1.999998820636012,0.2033158741951095,0.1999999548882418,0.10000000000000385,0.500000002727876,0.7999990815072158,1.0244172760947687,0.5551341756021921,0.7122465614168247,4.560314686569174,0.45400001272533963,0.22441819458755297,0.1571123858146326
6,True,2.122246552790723,0.8410799709878412,0.17761490777676953,0.24254251648591368,1.220547197876985,0.08204570443408458,0.11228629149573377,0.3300654734422187,0.5597506376140393,0.18742778401877794,2.7004781396091633,0.7477500000000006,0.9472963540589318,7.234755399937272,0.006118931120412987,2.5130503555903854,0.19954635405893117
20,True,2.8437205902893434,0.9736050859716074,0.2014895715023939,0.3614951182775322,1.7872755809364003,0.08922736547068857,0.19285795364683941,0.24161908490563125,0.5733541413531669,0.7990022543381481,2.657009867732004,0.6232967872388853,0.94725,3.9996875862901513,1.4158465105466196,1.858007613393856,0.3239532127611148
26,True,1.6577607533335008,0.7433619022910938,0.20319459382264093,0.37031976070823625,1.9994749309527475,0.08650450380935054,0.12086917378635559,0.11657508749016567,0.5088458311088583,0.1671071972393227,3.9823144697108677,0.6237076377185137,0.9499195007596708,23.99957862086465,0.9483936197636161,3.815207272471545,0.3262118630411571
27,True,9.392468184652511,1.769413102759642,0.23284348727328547,0.4275496586290571,1.8893298850519293,0.04044245003269886,0.18666012526875553,0.27721793897111835,0.5503288097554442,0.7789051329683452,3.827602975892323,0.5614377432100739,0.9473835510759842,12.689818212138174,0.9898504370428175,3.048697842923978,0.38594580786591026
24,True,3.4210364527143926,1.067869600765061,0.23923898951282313,0.20822294903416674,1.767423249155779,0.02119407162838411,0.1981459125794378,0.10288825645526649,0.5746545152622123,0.7489107024987239,2.986791191243056,0.5578919888210225,0.94725,6.197575268418203,1.1205996776162097,2.2378804887443318,0.3893580111789775
25,True,1.1019429181113929,0.6639105114731632,0.24116098984488646,0.4902579808233811,0.695801057442007,0.12072315278553229,0.19999999999999998,0.10000000000000002,0.5000000000000001,0.5490491822951566,3.9999999999118465,0.5700981104525261,0.8556924197085204,3.7340952519059827,0.5816765810880802,3.4509508176166896,0.28559430925599427
14,True,10.581111930121624,1.8780408169261236,0.25096616709648895,0.5999999949223986,1.4846562482420567,0.020000001258847953,0.18659248501160872,0.31890987662528686,0.5894401163602268,0.16466773405155347,3.672586955942942,0.5477260539945487,0.9472499999999999,13.843940583644992,4.4669556488763176e-14,3.5079192218913886,0.39952394600545127
33,True,22.361642244961548,2.7301796183255993,0.2643529815625471,0.599389067792882,1.9999999998775586,0.020206950199901368,0.19999999999990595,0.10000000000000002,0.5000000000000001,0.7979897655405276,3.9999938180257533,0.6489985805317979,0.94725,16.703518813673917,1.9193275656293554,3.2020040524852256,0.2982514194682021
23,True,3.6781195602729695,1.107266839304927,0.29710217862261046,0.5049701394045735,1.4093441274294995,0.024607659465864823,0.19915415606447132,0.13662823403888708,0.7881279390717236,0.6849665334851738,3.490769284968394,0.74775,0.8926787407844377,16.518873669156175,0.5894769596854427,2.8058027514832204,0.14492874078443763
17,True,88.12738200549893,5.4199440958217435,0.33567485511343415,0.3768824837616234,1.9999999999999998,0.08969758987299309,0.19999999999999998,0.10000000000000002,0.5000000000000001,0.2286926584066064,3.9999999999999996,0.7208188801724158,0.9472499999999999,15.13608541031469,1.2553982583860358e-29,3.7713073415933933,0.22643111982758413
36,True,141.4887061589566,6.867525176727461,0.36401665077579404,0.43156191445030306,1.9767788304128457,0.10709750134873282,0.15203886257057755,0.10000038143123074,0.5000226732387016,0.769292744671401,3.707164508972321,0.5123053983318913,0.9488915388747484,16.70947027904213,0.2929981985607341,2.93787176430092,0.43658614054285716
30,True,33.807346885061264,3.677354858322012,0.3989160478434904,0.35626442021551114,1.9999622691442314,0.08461203273194516,0.19999951974106295,0.1000038439685831,0.5000000007825456,0.7999995458159196,3.314605038315139,0.560237753299607,0.8800854728162192,16.190627107824795,0.5885109298812948,2.514605492499219,0.3198477195166122
40,True,27.827461121743465,3.0456231503445217,0.44054964885049347,0.593287381400104,1.8745860839335904,0.020140280249062448,0.19371796683740158,0.21858031364752992,0.5943907506145313,0.7995988366258471,3.888178439298297,0.5120759577867419,0.9493486264933302,23.887670977400294,1.9659099757404133,3.08857960267245,0.4372726687065883
32,True,55.1192862983379,4.2863848908817435,0.5308836893278099,0.06114850538557785,1.99999999997159,0.021337996481903262,0.19999999999999918,0.10000000000000002,0.5000000000000001,0.7999999999999188,3.4295277739487973,0.41509871033585755,0.9472499999999999,14.02362518970647,1.7456323962684241,2.6295277739488787,0.5321512896641424
7,True,50.62084539389241,4.107750616979744,0.536971393955919,0.3250814717369061,1.9999999990961816,0.14956857185454134,0.19999999999992282,0.10000000000003696,0.5000000000000001,0.7999999999993956,2.2928692494348377,0.47631395043300834,0.6727667570918935,3.9827895837381373,1.7007327801264636,1.492869249435442,0.19645280665888515
39,True,152.6774950799444,7.13389783778696,0.5604622410718958,0.2934092410221274,1.9999998792832046,0.12213132417939963,0.19999999913935412,0.10000000000308142,0.5000000000011439,0.7999999164941511,3.803009920250945,0.5694855543990748,0.6629321473002676,21.601589627718152,1.9999984729424745,3.0030100037567937,0.09344659290119284
37,True,566.2417180638811,13.738531193494705,0.5653380766473879,0.5242807476052878,1.9999999837119455,0.02392435397156866,0.19999999999993687,0.10000000000005067,0.5000000000000001,0.799999999871371,3.9999971826382112,0.5378937409460259,0.7837167134291262,23.99999242089501,0.6464773610203911,3.19999718276684,0.24582297248310025
