subject,mode,n_rows,n_pairs,degree,n_minima,minima_positions,coef,x_center,x_scale
C3037,B,6,6,1,0,[],"[1513511.3543984967, 1511740.1666666667]",2970753.1666666665,842450.1208218832
H4004,B,6,6,1,2,"[3763550.6101694917, 3873130.254237288]","[-1415618.2925893397, 157158.16666666712]",3597030.8333333335,2346818.7805105746
