case,n_samples,minima_count,z_min,z_max
bistable_dense,30,2,-1.3886129815533594,1.4326228631965257
bistable_sparse,22,2,-1.345814864528199,1.408552485629122
ou_dense,30,1,-0.9104780088556228,0.9445233779445384
ou_sparse,19,1,-0.6330407495337713,0.5492760171299462
