subject,R2_logspace,n_aligned,lag_F,lag_A,lag_L
C3032,-1.482285991818085,6,1,0,1
C3037,0.2617796327646835,6,1,0,1
H4001,-0.6542582374699688,6,1,0,1
H4004,0.11687371812396019,6,1,0,1
