Subject,n_points,U_fit,flip_U_quasistatic,stays_after_removal,H_on,H_off,p_low,p_high,g,u,d
S1,24,0.2505350597284453,,False,0.5488872611635304,0.94675,0.10403089361066428,2.466876526825489,0.4968135513374077,0.5991665716045229,0.1270955061806411
S10,17,0.49489013008046073,0.0,True,0.55,0.7,0.24058084869768692,2.5,1.9925000027566155,0.241862069665528,0.1871139992098222
S11,15,0.3000000058011434,0.15384615384615385,False,0.55,0.7,0.1000000042973503,2.5,0.4999999825596983,0.5999997469739742,0.12000000053707488
S12,18,0.13798144937461232,0.0,True,0.7970000000000002,0.5485353960267864,0.13414609307080022,2.7246842613096964,0.49252809274159304,0.6115604194094876,0.1226693671127364
S13,16,0.32682922984946805,0.5,False,0.5500082763316726,0.7,0.12043994237525601,2.5000009350020838,0.2214069249614311,0.5796409620152937,0.1278934026729184
S14,14,0.32053535233104125,0.15384615384615385,False,0.5464524433735538,0.7,0.11146121840722634,2.5000248679369204,0.5025041934683678,0.5950278950729218,0.12735948099357572
S15,17,0.0221782768714993,0.0,True,0.797,0.7000000000000003,0.6029792903919496,2.385094612576054,0.37525994221248826,0.41552761837777114,0.3655425578910728
S16,16,0.8000882217538251,0.0,True,0.55,0.7,0.3802185601225167,2.5,1.9371472403529475,0.2020005876602196,0.23635546320314885
S17,15,0.300270703201032,0.19230769230769232,False,0.5524982715584985,0.7,0.09743073808493447,2.5000010864011317,0.5182630268481673,0.6067710337259917,0.1268012402477856
S18,10,0.5722658992377464,0.0,True,0.55,0.7,0.25878661433579003,2.5,1.992500000247068,0.2329713815270205,0.20195050771656173
S19,13,0.7561993638960678,0.0,True,0.5500000000000007,0.7,0.3671581689756146,2.5,1.8762459165159975,0.2379324323948952,0.17922331572129296
S2,20,0.1951996090295887,,False,0.5212816209949513,0.9467499999999998,0.12702758487418717,2.576665188459956,0.4950477604012906,0.653236022135393,0.12985975672957795
S20,14,1.2618094719031145,0.0,True,0.55,0.7,0.6319249378221945,2.5,1.556858849806998,0.20211809783204074,0.339992155568974
S21,10,0.35425376768872624,0.0,True,0.55,0.7,0.42542611690910886,2.5,1.9925000002037812,0.2527392444612628,0.27838932320123727
S3,18,0.04236410114978028,,False,0.20065632176778989,0.8007238830130967,0.14665297050963255,2.55526633096904,0.06315432049928603,0.20043096573055919,0.27976186810676185
S4,19,1.44256353443357,0.044386570290263695,False,0.33412863527736986,0.7000000000000001,0.4734270549252009,0.40548267202817057,0.7728087185846295,0.6349134598064479,0.34155116824765935
S5,15,0.037553386043100656,0.0,True,0.7204464601531326,0.6090140920509405,0.572638932711861,2.1251770292773275,0.40270961371770186,0.5434812678105435,0.3352325111871156
S6,24,1.3575677966257755,0.0,True,0.7725546151838398,0.7,0.44738917126043165,3.627958882308642,0.9149164711882143,0.20394406576581797,0.332753478864034
S7,18,0.49736855723930345,0.0,True,0.55,0.7,0.23162246595500421,2.5,1.9581642411305253,0.2484913501574179,0.18281591355535043
S8,19,0.1452186459732438,0.23076923076923078,False,0.5500000000000008,0.7000000000000001,0.4594925846196055,3.071931784773537,0.3940058501676908,0.5506837142982316,0.2759211444263403
S9,12,0.9101555078925672,0.0,True,0.5500000000000004,0.7,0.5764103848928568,2.5000000000000004,1.8679671027261284,0.2000542879102336,0.22653755407559192
