branch,U,M_star,H_star,B_star,q_star,B_scaled_star
up,0.0,0.9999999999999997,0.7052213126329494,1.0573362214999509,0.0,10.549986265334455
up,0.044386570290263695,0.9999999999999997,0.7194805646973884,1.1335478903532674,0.0,11.310418040309587
up,0.08877314058052739,0.9999999999999997,0.7323224317576544,1.2091331305802109,0.0,12.064599378318631
up,0.1331597108707911,0.9999999999999997,0.7439611459829168,1.284186624404075,0.0,12.813475008327648
up,0.17754628116105478,0.9999999999999997,0.7545677683523379,1.358783974073992,0.0,13.557799281387666
up,0.22193285145131847,0.9999999999999997,0.7642809374671683,1.432986452418649,0.0,14.298183571144968
up,0.2663194217415822,0.9999999999999997,0.7732144715034713,1.50684436261148,0.0,15.035129797214182
up,0.31070599203184585,0.9999999999999997,0.7814628701782785,1.5803994698240917,0.0,15.769054687952726
up,0.35509256232210956,0.9999999999999997,0.7891053774508212,1.6536867967809974,0.0,16.5003076963114
up,0.3994791326123733,0.9999999999999997,0.7962090346242671,1.726735973110935,0.0,17.229184463515644
up,0.44386570290263694,0.9999999999999997,0.8028310106479557,1.7995722652491373,0.0,17.955937095318827
up,0.48825227319290065,0.9999999999999997,0.8090204055108342,1.8722173734665533,0.0,18.68078211467345
up,0.5326388434831644,0.9999999999999997,0.8148196632831216,1.944690056378892,0.0,19.403906693014726
up,0.5770254137734281,0.9999999999999997,0.8202656917544445,2.0170066257828005,0.0,20.12547358768237
up,0.6214119840636917,0.9999999999999997,0.8253907586357119,2.0891813427419708,0.0,20.845625094024843
up,0.6657985543539554,0.9999999999999997,0.8302232155752123,2.161226737573883,0.0,21.564486238192416
up,0.7101851246442191,0.9999999999999997,0.8347880880395938,2.233153870554079,0.0,22.282167378416165
up,0.7545716949344828,0.9999999999999997,0.8391075596605068,2.3049725459784023,0.0,22.998766340897806
up,0.7989582652247466,0.9999999999999997,0.8432013727889398,2.376691489192311,0.0,23.71437018618901
up,0.8433448355150102,0.9999999999999997,0.8470871619580507,2.4483184939683875,0.0,24.42905667970822
up,0.8877314058052739,0.9999999999999997,0.8507807332067074,2.519860545956393,0.0,25.142895523511925
up,0.9321179760955376,0.9999999999999997,0.854296299398483,2.591323926685043,0.0,25.8559493940131
up,0.9765045463858013,0.9999999999999997,0.8576466795320565,2.6627143016493946,0.0,26.568274820907614
up,1.020891116676065,0.9999999999999997,0.8608434684002866,2.7340367952935054,0.0,27.27992293534309
up,1.0652776869663287,0.9999999999999997,0.8638971816888313,2.8052960551383412,0.0,27.99094010978021
up,1.1096642572565925,0.9999999999999997,0.8668173806186058,2.8764963068688543,0.0,28.701368507645615
up,1.1540508275468562,0.9999999999999997,0.8696127794619297,2.947641401851909,0.0,29.41124655746061
up,1.1984373978371197,0.9999999999999997,0.872291338650003,3.018734858286136,0.0,30.120609363429974
up,1.2428239681273834,0.9999999999999997,0.8748603457021221,3.0897798969694774,0.0,30.829489062326623
up,1.287210538417647,0.9999999999999997,0.8773264858168704,3.160779472497722,0.0,31.53791513478724
up,1.3315971087079108,0.9999999999999997,0.8796959036511808,3.2317363005684334,0.0,32.245914677747884
up,1.3759836789981745,0.9999999999999997,0.8819742575585215,3.3026528819521013,0.0,32.95351264362558
up,1.4203702492884382,0.9999999999999997,0.884166767350061,3.373531523600703,0.0,33.660732050937206
up,1.464756819578702,0.9999999999999997,0.8862782564728974,3.4443743572888335,0.0,34.367594170298716
up,1.5091433898689657,0.9999999999999997,0.8883131893598196,3.5151833561208288,0.0,35.07411868913142
up,1.5535299601592294,0.9999999999999997,0.8902757045896935,3.585960349186361,0.0,35.780323857893876
up,1.597916530449493,0.9999999999999997,0.8921696444018415,3.6567070346046417,0.0,36.48622662023562
up,1.6423031007397568,0.9999999999999997,0.8939985810280128,3.72742499116211,0.0,37.19184272911669
up,1.6866896710300203,0.9999999999999997,0.8957658402388113,3.79811568871904,0.0,37.897186850643656
up,1.731076241320284,0.9999999999999997,0.8974745224454156,3.8687804975356737,0.0,38.60227265712476
down,1.731076241320284,0.9999999999999997,0.8974745224454156,3.868780497535674,0.0,38.60227265712476
