U_mag,duration_hr,locked,H_final,B_final,q_final
0.05,24.0,False,0.5555556282610956,0.3000001001441176,0.0
0.05,62.11764705882353,False,0.5555556282610956,0.3000001001441176,0.0
0.05,100.23529411764706,False,0.5555556282610956,0.3000001001441176,0.0
0.05,138.35294117647058,False,0.5555556282610956,0.3000001001441176,0.0
0.05,176.47058823529412,False,0.5555556282610956,0.3000001001441176,0.0
0.05,214.58823529411765,False,0.5555556282610956,0.3000001001441176,0.0
0.05,252.70588235294116,False,0.5555556282610956,0.3000001001441176,0.0
0.05,290.8235294117647,False,0.5555556282610956,0.3000001001441176,0.0
0.05,328.94117647058823,False,0.5555556282610956,0.3000001001441176,0.0
0.05,367.05882352941177,False,0.5555556282610956,0.3000001001441176,0.0
0.05,405.1764705882353,False,0.5555556282610956,0.3000001001441176,0.0
0.05,443.29411764705884,False,0.5555556282610956,0.3000001001441176,0.0
0.05,481.4117647058823,False,0.5555556282610956,0.3000001001441176,0.0
0.05,519.5294117647059,False,0.5555556282610956,0.3000001001441176,0.0
0.05,557.6470588235294,False,0.5555556282610956,0.3000001001441176,0.0
0.05,595.7647058823529,False,0.5555556282610956,0.3000001001441176,0.0
0.05,633.8823529411765,False,0.5555556282610956,0.3000001001441176,0.0
0.05,672.0,False,0.5555556282610956,0.3000001001441176,0.0
0.1,24.0,False,0.5555556282610956,0.3000001001441176,0.0
0.1,62.11764705882353,False,0.5555556282610956,0.3000001001441176,0.0
0.1,100.23529411764706,False,0.5555556282610956,0.3000001001441176,0.0
0.1,138.35294117647058,False,0.5555556282610956,0.3000001001441176,0.0
0.1,176.47058823529412,False,0.5555556282610956,0.3000001001441176,0.0
0.1,214.58823529411765,False,0.5555556282610956,0.3000001001441176,0.0
0.1,252.70588235294116,False,0.5555556282610956,0.3000001001441176,0.0
0.1,290.8235294117647,False,0.5555556282610956,0.3000001001441176,0.0
0.1,328.94117647058823,False,0.5555556282610956,0.3000001001441176,0.0
0.1,367.05882352941177,False,0.5555556282610956,0.3000001001441176,0.0
0.1,405.1764705882353,False,0.5555556282610956,0.3000001001441176,0.0
0.1,443.29411764705884,False,0.5555556282610956,0.3000001001441176,0.0
0.1,481.4117647058823,False,0.5555556282610956,0.3000001001441176,0.0
0.1,519.5294117647059,False,0.5555556282610956,0.3000001001441176,0.0
0.1,557.6470588235294,False,0.5555556282610956,0.3000001001441176,0.0
0.1,595.7647058823529,False,0.5555556282610956,0.3000001001441176,0.0
0.1,633.8823529411765,False,0.5555556282610956,0.3000001001441176,0.0
0.1,672.0,False,0.5555556282610956,0.3000001001441176,0.0
0.15,24.0,False,0.5555556282610955,0.3000001001441177,0.0
0.15,62.11764705882353,False,0.5555556282610955,0.3000001001441177,0.0
0.15,100.23529411764706,False,0.5555556282610955,0.3000001001441177,0.0
0.15,138.35294117647058,False,0.5555556282610955,0.3000001001441177,0.0
0.15,176.47058823529412,False,0.5555556282610955,0.3000001001441177,0.0
0.15,214.58823529411765,False,0.5555556282610955,0.3000001001441177,0.0
0.15,252.70588235294116,False,0.5555556282610955,0.3000001001441177,0.0
0.15,290.8235294117647,False,0.5555556282610955,0.3000001001441177,0.0
0.15,328.94117647058823,False,0.5555556282610955,0.3000001001441177,0.0
0.15,367.05882352941177,False,0.5555556282610955,0.3000001001441177,0.0
0.15,405.1764705882353,False,0.5555556282610955,0.3000001001441177,0.0
0.15,443.29411764705884,False,0.5555556282610955,0.3000001001441177,0.0
0.15,481.4117647058823,False,0.5555556282610955,0.3000001001441177,0.0
0.15,519.5294117647059,False,0.5555556282610955,0.3000001001441177,0.0
0.15,557.6470588235294,False,0.5555556282610955,0.3000001001441177,0.0
0.15,595.7647058823529,False,0.5555556282610955,0.3000001001441177,0.0
0.15,633.8823529411765,False,0.5555556282610955,0.3000001001441177,0.0
0.15,672.0,False,0.5555556282610955,0.3000001001441177,0.0
0.2,24.0,False,0.5555556282610955,0.3000001001441177,0.0
0.2,62.11764705882353,False,0.5555556282610955,0.3000001001441177,0.0
0.2,100.23529411764706,False,0.5555556282610955,0.3000001001441177,0.0
0.2,138.35294117647058,False,0.5555556282610955,0.3000001001441177,0.0
0.2,176.47058823529412,False,0.5555556282610955,0.3000001001441177,0.0
0.2,214.58823529411765,False,0.5555556282610955,0.3000001001441177,0.0
0.2,252.70588235294116,False,0.5555556282610955,0.3000001001441177,0.0
0.2,290.8235294117647,False,0.5555556282610955,0.3000001001441177,0.0
0.2,328.94117647058823,False,0.5555556282610955,0.3000001001441177,0.0
0.2,367.05882352941177,False,0.5555556282610955,0.3000001001441177,0.0
0.2,405.1764705882353,False,0.5555556282610955,0.3000001001441177,0.0
0.2,443.29411764705884,False,0.5555556282610955,0.3000001001441177,0.0
0.2,481.4117647058823,False,0.5555556282610955,0.3000001001441177,0.0
0.2,519.5294117647059,False,0.5555556282610955,0.3000001001441177,0.0
0.2,557.6470588235294,False,0.5555556282610955,0.3000001001441177,0.0
0.2,595.7647058823529,False,0.5555556282610955,0.3000001001441177,0.0
0.2,633.8823529411765,False,0.5555556282610955,0.3000001001441177,0.0
0.2,672.0,False,0.5555556282610955,0.3000001001441177,0.0
0.25,24.0,False,0.5555556282610954,0.30000010014411777,0.0
0.25,62.11764705882353,False,0.5555556282610954,0.30000010014411777,0.0
0.25,100.23529411764706,False,0.5555556282610954,0.30000010014411777,0.0
