,0
r_max,0.32
K_M,1.0
c,0.1
d,0.3655425578910728
g,0.37525994221248826
u,0.41552761837777114
p_low,0.6029792903919496
p_high,2.385094612576054
H_on,0.797
H_off,0.7000000000000003
tau_q,4.0
U,0.0221782768714993
sB,816.9356803591236
