subject_id,success,cost,r_max,K_M,c,d,g,u,p_low,p_high,H_on,H_off,tau_q,N,mean,vmin,vmax,RMSE,NRMSE,p_gap,H_band,flag_high_cost,flag_small_p_gap,flag_narrow_band,flag_bad_rmse,flag_any
13,True,0.63256400759356,0.1611955622116313,1.688498486811092,0.0924548798771763,0.3219542392287656,0.1458712888084113,0.2567999440979391,0.6497366712764179,3.391366272611462,0.55,0.7,15.85104929790336,6,6.673561468166667,4.976939194,10.65828255,0.45918914316200177,0.08082404360881613,2.741629601335044,0.1499999999999999,False,False,False,False,False
4,True,2.8606259869167747,0.2537760739258911,1.921536015799006,0.0641266768452616,0.3842292249672889,0.0515196612118764,0.200000000000063,0.7936566638569095,2.1834875062855064,0.5041246602330406,0.7,14.726802928240955,6,13.129945236666666,10.56273867,17.46622927,0.9764947494169771,0.1414494211691948,1.389830842428597,0.19587533976695937,False,False,False,False,False
40,True,4.928076381960833,0.3219636487387258,1.979535735798895,0.0789219261318213,0.3941034022934185,0.0767779989862908,0.2000000000082335,0.7960962437423287,3.9963860450764,0.55,0.7,23.95235268262,6,13.302070248333335,10.88210931,17.79534408,1.2816755156123867,0.18539447281238314,3.2002898013340717,0.1499999999999999,False,False,False,False,False
35,True,5.619539598771327,0.3876035864478604,1.968524814416699,0.0631068271801619,0.3910800735457558,0.0934518929404045,0.2000115618905528,0.793344996254583,1.618331169057271,0.550000000000001,0.7,7.321623126981329,6,10.280861752166667,7.55356474,13.44814065,1.3686416135194448,0.23218661264461432,0.824986172802688,0.1499999999999989,False,False,False,False,False
14,True,10.58103672786364,0.4376534153424232,1.9581495656594616,0.079805822110845,0.3864736305020845,0.1416898684905442,0.200001095091717,0.7830478889659751,3.6307389819414695,0.55,0.7,19.47828295994829,6,8.939475532666666,4.624603035,12.10784605,1.8780341430925087,0.2509652752594069,2.847691092975494,0.1499999999999999,False,False,False,False,False
19,True,17.039144623451417,0.2158694736087927,1.985882654317483,0.020046592635048,0.3966999684667726,0.0694337882311965,0.2035971316127452,0.7928592004651409,3.996350566175436,0.6120592734626682,0.7,23.948170708081463,6,12.317119597333333,9.372517054,17.77092013,2.3832152388073986,0.28377004738173134,3.203491365710295,0.08794072653733176,False,False,False,False,False
20,True,5.971933336393756,0.4040609520752166,1.9667747372002224,0.0779142398287423,0.3845425202024699,0.0998170367977599,0.2003249651259399,0.7321075946337532,3.998569536450579,0.55,0.7,23.955833775846347,6,9.726531145833333,7.361418214,12.19345532,1.410901997115528,0.291989065101258,3.266461941816826,0.1499999999999999,False,False,False,False,False
10,True,23.926387879423665,0.3341295056045954,1.9859405740947635,0.0816054877239192,0.3964102163284941,0.0634816755045694,0.2043447434047629,0.7949084888724715,3.628919490894512,0.55,0.7,20.176291879720782,6,13.384357455333335,9.182389852,18.79519486,2.8240861577640572,0.2937837764745865,2.8340110020220406,0.1499999999999999,False,False,False,False,False
39,True,43.51163468112268,0.2364385311697673,1.8314179203162115,0.1036432311222714,0.3658876789431124,0.0623072301085866,0.2000275524904569,0.7440243918269762,3.345082415871957,0.5499995867711919,0.7,15.325528299401126,6,15.399357918333335,10.35837579,23.0869725,3.8083957550444905,0.2991999700998061,2.6010580240449808,0.15000041322880808,False,False,False,False,False
25,True,1.7102485315828777,0.5076227337026833,1.5672168146070815,0.2027415817426237,0.3104950493368445,0.3762073268522539,0.2140578379233488,0.7519175103049195,3.566491886685748,0.55,0.7,6.172867151867555,5,5.890721496199999,4.517709699,7.27068609,0.8271030241953847,0.3004395631213333,2.8145743763808286,0.1499999999999999,False,False,False,False,False
27,True,16.234042560243424,0.4227334818293283,1.9619236836099956,0.1233276787766105,0.3853091830547898,0.1585871761826789,0.2000065008915564,0.7929962760497327,3.999987970516081,0.55,0.7,23.999754370915404,6,9.334504562666666,7.072153002,14.67130522,2.326230323953572,0.3061170848036791,3.206991694466348,0.1499999999999999,False,False,False,False,False
23,True,3.917854117677668,0.3013373635931384,1.7148306566821805,0.0211499999999999,0.3426619338252775,0.1931621675842054,0.2033201723475765,0.742296288044798,2.5604731191197683,0.55,0.7,5.225872302368078,6,7.5025208155,5.671134456,9.398023449,1.1427822944722335,0.3066316964681951,1.8181768310749704,0.1499999999999999,False,False,False,False,False
