,value,subject_id
r_max,0.24059040909373897,30
K_M,1.9945745710789935,30
c,0.020143032245616574,30
d,0.39874073290955864,30
g,0.05083393877261703,30
u,0.2000002534739838,30
p_low,0.798452082165578,30
p_high,3.9987686574280774,30
H_on,0.55,30
H_off,0.7,30
tau_q,23.984248929391292,30
