,value,subject_id
r_max,0.3,2
K_M,1.0,2
c,0.1,2
d,0.12,2
g,0.45,2
u,0.6,2
p_low,0.1,2
p_high,2.5,2
H_on,0.55,2
H_off,0.7,2
tau_q,4.0,2
